study,model,format,mean,std,count
study_2,binary_deepseek_0,binary_elaborated,0.861954612772062,,1
study_2,binary_deepseek_0,binary_simple,0.8675172330257498,,1
study_2,binary_gpt_4_0,binary_elaborated,0.8784742588543617,,1
study_2,binary_gpt_4_0,binary_simple,0.8802659043884995,,1
study_2,binary_gpt_4o_0,binary_elaborated,0.8784483606059996,,1
study_2,binary_gpt_4o_0,binary_simple,0.8760908462090793,,1
study_2,binary_llama_0,binary_elaborated,0.8651818583241478,,1
study_2,binary_llama_0,binary_simple,0.8748145088306989,,1
study_2,binary_openai_gpt_3.5_turbo_0125_0,binary_elaborated,0.7327842312942983,,1
study_2,binary_openai_gpt_3.5_turbo_0125_0,binary_simple,0.7342617353068748,,1
study_3,binary_deepseek,binary_elaborated,0.7960488053130763,,1
study_3,binary_deepseek,binary_simple,0.7736424351756946,,1
study_3,binary_gpt_4,binary_elaborated,0.8179117581856294,,1
study_3,binary_gpt_4,binary_simple,0.8086210528870756,,1
study_3,binary_gpt_4o,binary_elaborated,0.813999705784658,,1
study_3,binary_gpt_4o,binary_simple,0.8085012621327946,,1
study_3,binary_llama,binary_elaborated,0.7985779405791722,,1
study_3,binary_llama,binary_simple,0.7833997787058902,,1
study_3,binary_openai_gpt_3.5_turbo_0125,binary_elaborated,0.6566615631090459,,1
study_3,binary_openai_gpt_3.5_turbo_0125,binary_simple,0.6003388417451121,,1
