study,model,format,cutoff_type,n_participants,avg_correlation,E_correlation,E_p_value,A_correlation,A_p_value,C_correlation,C_p_value,N_correlation,N_p_value,O_correlation,O_p_value
study_2,binary_llama_0,binary_simple,2.5,438,0.8748145088306989,0.8842271585339196,3.0228543560716155e-146,0.8805269274770477,1.8824729739964528e-143,0.9241547358078933,2.539561014875066e-184,0.8665677237104232,1.0920186097046008e-133,0.8185959986242111,4.741391213443659e-107
study_2,binary_gpt_4o_0,binary_simple,2.5,438,0.8760908462090793,0.8804833576795819,2.028042476174298e-143,0.8804671753644921,2.0849149918939484e-143,0.9132777418832191,3.641011216625505e-172,0.8964736398228321,3.1818457778959494e-156,0.8097523162952717,5.317085428640318e-103
study_2,binary_deepseek_0,binary_simple,2.5,438,0.8675172330257498,0.8848971430025787,9.210014493928407e-147,0.892573257668994,6.472084893448557e-153,0.920372228510494,6.728228630887242e-180,0.8792465722511941,1.6599371328946626e-142,0.7604969636954877,8.678100322915845e-84
study_2,binary_gpt_4_0,binary_simple,2.5,438,0.8802659043884995,0.8855337762538128,2.956750683234007e-147,0.9120721651844264,6.444688666005994e-171,0.9351408412811737,1.3305052776235861e-198,0.8800195436548169,4.473563000879024e-143,0.7885631955682677,4.1669026906787653e-94
study_2,binary_openai_gpt_3.5_turbo_0125_0,binary_simple,2.5,438,0.7342617353068748,0.8771360674557203,5.690891673050585e-141,0.7417256309203523,1.1973107197183659e-77,0.790473325558302,7.254901141301321e-95,0.5659144861144684,1.896549654400067e-38,0.6960591664855309,1.0101910749883442e-64
study_2,binary_llama_0,binary_elaborated,2.5,438,0.8651818583241478,0.8862233962661891,8.570030962936101e-148,0.8646093723377778,2.0857531019240332e-132,0.9215511640379885,2.9732815569919953e-181,0.8650536933757694,1.0724633231448539e-132,0.7884716656030143,4.528915408877602e-94
study_2,binary_gpt_4o_0,binary_elaborated,2.5,438,0.8784483606059996,0.8805505159522978,1.8080492918610867e-143,0.8809537398837181,9.060934025791151e-144,0.917183246122411,2.453259109158145e-176,0.8956302665039767,1.6948229001889695e-155,0.8179240345675945,9.802267163835992e-107
study_2,binary_deepseek_0,binary_elaborated,2.5,438,0.861954612772062,0.8789636782314948,2.6762072800901988e-142,0.8787721642003556,3.6953010353905235e-142,0.9202342573799831,9.661993554334092e-180,0.8813713464856078,4.418593060217081e-144,0.7504316175628682,1.9899326979513348e-80
study_2,binary_gpt_4_0,binary_elaborated,2.5,438,0.8784742588543617,0.8882036346168259,2.339108243412482e-149,0.9205070231675292,4.721480203337382e-180,0.9303267440449489,4.667560753598893e-192,0.8810986773826913,7.064143650849067e-144,0.7722352150598131,6.357121424330965e-88
study_2,binary_openai_gpt_3.5_turbo_0125_0,binary_elaborated,2.5,438,0.7327842312942983,0.8736266174180632,1.7625532883187514e-138,0.7263901731400736,5.1392009723600015e-73,0.7742369881618201,1.1837423494188573e-88,0.5834438420619328,2.607744770323918e-41,0.7062235356896017,2.2057334474715054e-67
study_3,binary_gpt_4,binary_simple,2.5,200,0.8086210528870756,0.9694699824010907,7.851480860320318e-123,0.5167328716565107,4.770468411806747e-15,0.775621674596729,1.9714480904772887e-41,0.8915527923810332,4.943114376394679e-70,0.889727943400014,2.3487851636344846e-69
study_3,binary_openai_gpt_3.5_turbo_0125,binary_simple,2.5,200,0.6003388417451121,0.8662190446909194,1.42247908075701e-61,0.29861822572750174,1.7466415635669516e-05,0.5735370670855673,6.906256519779082e-19,0.536773401569202,2.546752996426908e-16,0.7265464696523701,4.187871804102479e-34
study_3,binary_gpt_4o,binary_simple,2.5,200,0.8085012621327946,0.9677273301877393,1.7552557572601653e-120,0.4994715368786364,5.123607666026906e-14,0.7749222987772356,2.582485383291298e-41,0.9037026101160244,7.156422756943002e-75,0.8966825347043377,5.30350742518727e-72
