Study,Format,Model,Structure_Type,Alpha,Omega,Eigenvalue,Variance_Explained,RMSEA,CFI,TLI,SRMR,N_Items,N_Factors_Total
STUDY_2,binary_elaborated,deepseek_v3,Original,0.9824824877079148,0.0,7.073488504060566,0.8841860630075707,0.0,0.0,0.0,0.0,40.0,5
STUDY_2,binary_elaborated,gpt_3.5_turbo,Original,0.8969735189856634,0.0,4.661244783156179,0.5826555978945223,0.0,0.0,0.0,0.0,40.0,5
STUDY_2,binary_elaborated,gpt_4,Original,0.9804352490534773,0.0,6.979270546339426,0.8724088182924282,0.0,0.0,0.0,0.0,40.0,5
STUDY_2,binary_elaborated,gpt_4o,Original,0.9878436554249067,0.0,7.301529888678159,0.9126912360847699,0.0,0.0,0.0,0.0,40.0,5
STUDY_2,binary_elaborated,llama_3.3_70b,Original,0.9705581763684284,0.0,6.669598808032222,0.8336998510040278,0.0,0.0,0.0,0.0,40.0,5
STUDY_2,binary_simple,deepseek_v3,Original,0.9823992087303463,0.0,7.066335468846648,0.883291933605831,0.0,0.0,0.0,0.0,40.0,5
STUDY_2,binary_simple,gpt_3.5_turbo,Original,0.8967351933744764,0.0,4.684335674005972,0.5855419592507465,0.0,0.0,0.0,0.0,40.0,5
STUDY_2,binary_simple,gpt_4,Original,0.979317330052881,0.0,6.9512074095308,0.86890092619135,0.0,0.0,0.0,0.0,40.0,5
STUDY_2,binary_simple,gpt_4o,Original,0.9880309908192275,0.0,7.324967854220644,0.9156209817775804,0.0,0.0,0.0,0.0,40.0,5
STUDY_2,binary_simple,llama_3.3_70b,Original,0.9706609321900668,0.0,6.720123993124129,0.8400154991405161,0.0,0.0,0.0,0.0,40.0,5
STUDY_2,expanded,deepseek_v3,Original,0.9147509114351451,0.0,4.7469770931985265,0.5933721366498158,0.0,0.0,0.0,0.0,40.0,5
STUDY_2,expanded,gpt_3.5_turbo,Original,0.892880068578777,0.0,4.27565811274747,0.5344572640934337,0.0,0.0,0.0,0.0,40.0,5
STUDY_2,expanded,gpt_4,Original,0.8844525561824534,0.0,4.067983759333386,0.5084979699166733,0.0,0.0,0.0,0.0,40.0,5
STUDY_2,expanded,gpt_4o,Original,0.9299171816444959,0.0,5.0892582194105564,0.6361572774263196,0.0,0.0,0.0,0.0,40.0,5
STUDY_2,expanded,llama_3.3_70b,Original,0.9264036773448936,0.0,5.1729849081101715,0.6466231135137714,0.0,0.0,0.0,0.0,40.0,5
STUDY_2,likert,deepseek_v3,Original,0.912422410679342,0.0,4.570290142819157,0.5712862678523947,0.0,0.0,0.0,0.0,40.0,5
STUDY_2,likert,gpt_3.5_turbo,Original,0.8146864003567833,0.0,3.187190230208876,0.3983987787761095,0.0,0.0,0.0,0.0,40.0,5
STUDY_2,likert,gpt_4,Original,0.87382217679743,0.0,3.747623420904792,0.468452927613099,0.0,0.0,0.0,0.0,40.0,5
STUDY_2,likert,gpt_4o,Original,0.9297753846549407,0.0,5.0716574790468005,0.6339571848808501,0.0,0.0,0.0,0.0,40.0,5
STUDY_2,likert,llama_3.3_70b,Original,0.9378242262852385,0.0,5.383488006918924,0.6729360008648655,0.0,0.0,0.0,0.0,40.0,5
STUDY_3,binary_elaborated,deepseek_v3,Original,0.980038952914378,0.0,6.924203658173608,0.865525457271701,0.0,0.0,0.0,0.0,40.0,5
STUDY_3,binary_elaborated,gpt_3.5_turbo,Original,0.9010703414844551,0.0,4.757832242927622,0.5947290303659526,0.0,0.0,0.0,0.0,40.0,5
STUDY_3,binary_elaborated,gpt_4,Original,0.9787223766712134,0.0,6.915245868399667,0.8644057335499584,0.0,0.0,0.0,0.0,40.0,5
STUDY_3,binary_elaborated,gpt_4o,Original,0.987541129121337,0.0,7.312248249606634,0.9140310312008293,0.0,0.0,0.0,0.0,40.0,5
STUDY_3,binary_elaborated,llama_3.3_70b,Original,0.9656288966222283,0.0,6.400445363105284,0.8000556703881605,0.0,0.0,0.0,0.0,40.0,5
STUDY_3,binary_simple,deepseek_v3,Original,0.9821351198338377,0.0,6.914993844980041,0.8643742306225052,0.0,0.0,0.0,0.0,40.0,5
STUDY_3,binary_simple,gpt_3.5_turbo,Original,0.8679794561846068,0.0,3.8350180189066996,0.47937725236333745,0.0,0.0,0.0,0.0,40.0,5
STUDY_3,binary_simple,gpt_4,Original,0.9796518611257232,0.0,6.96042163717689,0.8700527046471113,0.0,0.0,0.0,0.0,40.0,5
STUDY_3,binary_simple,gpt_4o,Original,0.9856491412275687,0.0,7.223666545058441,0.902958318132305,0.0,0.0,0.0,0.0,40.0,5
STUDY_3,binary_simple,llama_3.3_70b,Original,0.9749737986898319,0.0,6.95842429124488,0.86980303640561,0.0,0.0,0.0,0.0,40.0,5
STUDY_3,expanded,deepseek_v3,Original,0.9050451580053405,0.0,4.62008847537874,0.5775110594223425,0.0,0.0,0.0,0.0,40.0,5
STUDY_3,expanded,gpt_3.5_turbo,Original,0.8603241920962674,0.0,4.034611674556211,0.5043264593195264,0.0,0.0,0.0,0.0,40.0,5
STUDY_3,expanded,gpt_4,Original,0.8705997249044224,0.0,4.06097014973698,0.5076212687171225,0.0,0.0,0.0,0.0,40.0,5
STUDY_3,expanded,gpt_4o,Original,0.9238156582684421,0.0,5.017095581591184,0.627136947698898,0.0,0.0,0.0,0.0,40.0,5
STUDY_3,expanded,llama_3.3_70b,Original,0.9107433873194927,0.0,4.876704759515251,0.6095880949394064,0.0,0.0,0.0,0.0,40.0,5
STUDY_3,likert,deepseek_v3,Original,0.8847028958675358,0.0,4.1753443193176745,0.5219180399147092,0.0,0.0,0.0,0.0,40.0,5
STUDY_3,likert,gpt_3.5_turbo,Original,0.7948148640937245,0.0,3.2965663718096208,0.4120707964762026,0.0,0.0,0.0,0.0,40.0,5
STUDY_3,likert,gpt_4,Original,0.8601396056389085,0.0,3.707655058734808,0.463456882341851,0.0,0.0,0.0,0.0,40.0,5
STUDY_3,likert,gpt_4o,Original,0.9162292958066253,0.0,4.826046206744789,0.6032557758430986,0.0,0.0,0.0,0.0,40.0,5
STUDY_3,likert,llama_3.3_70b,Original,0.9335861102589582,0.0,5.3099538422361325,0.6637442302795166,0.0,0.0,0.0,0.0,40.0,5
STUDY_3,study_3_expanded,simulation_metadata,Original,,,,,,,,,0.0,5
STUDY_3,study_3_likert,simulation_metadata,Original,,,,,,,,,0.0,5
