Study,Format,Model,Structure_Type,Factor_Domain,Item,Loading,Loading_Abs,Alpha,Omega,Eigenvalue,Variance_Explained,N_Items,N_Participants,RMSEA,CFI,TLI,SRMR,File_Source
STUDY_2,binary_elaborated,llama_3.3_70b,Original,Extraversion,Bold,-0.9943346611471603,0.9943346611471603,0.9960317606444897,0,7.887576137868271,0.9859470172335338,8,438,0,0,0,0,study_2_binary_elaborated_results_bfi_to_minimarker_binary_llama_temp1_0
STUDY_2,binary_elaborated,llama_3.3_70b,Original,Extraversion,Energetic,-0.996058778138695,0.996058778138695,0.9960317606444897,0,7.887576137868271,0.9859470172335338,8,438,0,0,0,0,study_2_binary_elaborated_results_bfi_to_minimarker_binary_llama_temp1_0
STUDY_2,binary_elaborated,llama_3.3_70b,Original,Extraversion,Extraverted,-0.999031775177555,0.999031775177555,0.9960317606444897,0,7.887576137868271,0.9859470172335338,8,438,0,0,0,0,study_2_binary_elaborated_results_bfi_to_minimarker_binary_llama_temp1_0
STUDY_2,binary_elaborated,llama_3.3_70b,Original,Extraversion,Talkative,-0.996175906857021,0.996175906857021,0.9960317606444897,0,7.887576137868271,0.9859470172335338,8,438,0,0,0,0,study_2_binary_elaborated_results_bfi_to_minimarker_binary_llama_temp1_0
STUDY_2,binary_elaborated,llama_3.3_70b,Original,Extraversion,Bashful,-0.9903453503817659,0.9903453503817659,0.9960317606444897,0,7.887576137868271,0.9859470172335338,8,438,0,0,0,0,study_2_binary_elaborated_results_bfi_to_minimarker_binary_llama_temp1_0
STUDY_2,binary_elaborated,llama_3.3_70b,Original,Extraversion,Quiet,-0.9940277212783882,0.9940277212783882,0.9960317606444897,0,7.887576137868271,0.9859470172335338,8,438,0,0,0,0,study_2_binary_elaborated_results_bfi_to_minimarker_binary_llama_temp1_0
STUDY_2,binary_elaborated,llama_3.3_70b,Original,Extraversion,Shy,-0.9890992411433895,0.9890992411433895,0.9960317606444897,0,7.887576137868271,0.9859470172335338,8,438,0,0,0,0,study_2_binary_elaborated_results_bfi_to_minimarker_binary_llama_temp1_0
STUDY_2,binary_elaborated,llama_3.3_70b,Original,Extraversion,Withdrawn,-0.9844380997617578,0.9844380997617578,0.9960317606444897,0,7.887576137868271,0.9859470172335338,8,438,0,0,0,0,study_2_binary_elaborated_results_bfi_to_minimarker_binary_llama_temp1_0
STUDY_2,binary_elaborated,llama_3.3_70b,Original,Agreeableness,Cooperative,-0.7662355458397185,0.7662355458397185,0.9654950774805698,0,6.029985233778563,0.7537481542223203,8,438,0,0,0,0,study_2_binary_elaborated_results_bfi_to_minimarker_binary_llama_temp1_0
STUDY_2,binary_elaborated,llama_3.3_70b,Original,Agreeableness,Kind,-0.7972023199199769,0.7972023199199769,0.9654950774805698,0,6.029985233778563,0.7537481542223203,8,438,0,0,0,0,study_2_binary_elaborated_results_bfi_to_minimarker_binary_llama_temp1_0
STUDY_2,binary_elaborated,llama_3.3_70b,Original,Agreeableness,Sympathetic,-0.7915876447223921,0.7915876447223921,0.9654950774805698,0,6.029985233778563,0.7537481542223203,8,438,0,0,0,0,study_2_binary_elaborated_results_bfi_to_minimarker_binary_llama_temp1_0
STUDY_2,binary_elaborated,llama_3.3_70b,Original,Agreeableness,Warm,-0.6636746338893574,0.6636746338893574,0.9654950774805698,0,6.029985233778563,0.7537481542223203,8,438,0,0,0,0,study_2_binary_elaborated_results_bfi_to_minimarker_binary_llama_temp1_0
STUDY_2,binary_elaborated,llama_3.3_70b,Original,Agreeableness,Cold,-0.9676367614845015,0.9676367614845015,0.9654950774805698,0,6.029985233778563,0.7537481542223203,8,438,0,0,0,0,study_2_binary_elaborated_results_bfi_to_minimarker_binary_llama_temp1_0
STUDY_2,binary_elaborated,llama_3.3_70b,Original,Agreeableness,Harsh,-0.9844681690062499,0.9844681690062499,0.9654950774805698,0,6.029985233778563,0.7537481542223203,8,438,0,0,0,0,study_2_binary_elaborated_results_bfi_to_minimarker_binary_llama_temp1_0
STUDY_2,binary_elaborated,llama_3.3_70b,Original,Agreeableness,Rude,-0.9530840348008874,0.9530840348008874,0.9654950774805698,0,6.029985233778563,0.7537481542223203,8,438,0,0,0,0,study_2_binary_elaborated_results_bfi_to_minimarker_binary_llama_temp1_0
STUDY_2,binary_elaborated,llama_3.3_70b,Original,Agreeableness,Unsympathetic,-0.9624936929061352,0.9624936929061352,0.9654950774805698,0,6.029985233778563,0.7537481542223203,8,438,0,0,0,0,study_2_binary_elaborated_results_bfi_to_minimarker_binary_llama_temp1_0
