Study,Format,Model,Structure_Type,Factor_Domain,Item,Loading,Loading_Abs,Alpha,Omega,Eigenvalue,Variance_Explained,N_Items,N_Participants,RMSEA,CFI,TLI,SRMR,File_Source
STUDY_2,binary_simple,deepseek_v3,Original,Extraversion,Bold,-0.9973823598976275,0.9973823598976275,0.9958675023811375,0,7.829897493708722,0.9787371867135902,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_deepseek_temp1_0
STUDY_2,binary_simple,deepseek_v3,Original,Extraversion,Energetic,-0.986893078710075,0.986893078710075,0.9958675023811375,0,7.829897493708722,0.9787371867135902,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_deepseek_temp1_0
STUDY_2,binary_simple,deepseek_v3,Original,Extraversion,Extraverted,-0.9978105487974444,0.9978105487974444,0.9958675023811375,0,7.829897493708722,0.9787371867135902,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_deepseek_temp1_0
STUDY_2,binary_simple,deepseek_v3,Original,Extraversion,Talkative,-0.989761527173585,0.989761527173585,0.9958675023811375,0,7.829897493708722,0.9787371867135902,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_deepseek_temp1_0
STUDY_2,binary_simple,deepseek_v3,Original,Extraversion,Bashful,-0.9897784329736946,0.9897784329736946,0.9958675023811375,0,7.829897493708722,0.9787371867135902,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_deepseek_temp1_0
STUDY_2,binary_simple,deepseek_v3,Original,Extraversion,Quiet,-0.9904343995257862,0.9904343995257862,0.9958675023811375,0,7.829897493708722,0.9787371867135902,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_deepseek_temp1_0
STUDY_2,binary_simple,deepseek_v3,Original,Extraversion,Shy,-0.9900995532996375,0.9900995532996375,0.9958675023811375,0,7.829897493708722,0.9787371867135902,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_deepseek_temp1_0
STUDY_2,binary_simple,deepseek_v3,Original,Extraversion,Withdrawn,-0.9721087539547508,0.9721087539547508,0.9958675023811375,0,7.829897493708722,0.9787371867135902,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_deepseek_temp1_0
STUDY_2,binary_simple,deepseek_v3,Original,Agreeableness,Cooperative,-0.8276848838911414,0.8276848838911414,0.9759067907156537,0,6.388110786328555,0.7985138482910694,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_deepseek_temp1_0
STUDY_2,binary_simple,deepseek_v3,Original,Agreeableness,Kind,-0.8319710359344936,0.8319710359344936,0.9759067907156537,0,6.388110786328555,0.7985138482910694,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_deepseek_temp1_0
STUDY_2,binary_simple,deepseek_v3,Original,Agreeableness,Sympathetic,-0.8333913836451503,0.8333913836451503,0.9759067907156537,0,6.388110786328555,0.7985138482910694,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_deepseek_temp1_0
STUDY_2,binary_simple,deepseek_v3,Original,Agreeableness,Warm,-0.6752007674784075,0.6752007674784075,0.9759067907156537,0,6.388110786328555,0.7985138482910694,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_deepseek_temp1_0
