Study,Format,Model,Structure_Type,Factor_Domain,Item,Loading,Loading_Abs,Alpha,Omega,Eigenvalue,Variance_Explained,N_Items,N_Participants,RMSEA,CFI,TLI,SRMR,File_Source
STUDY_2,binary_simple,gpt_4,Original,Extraversion,Bold,-0.9923688797542985,0.9923688797542985,0.9948360555231998,0,7.756442845247528,0.969555355655941,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4_temp1_0
STUDY_2,binary_simple,gpt_4,Original,Extraversion,Energetic,-0.9844305391513292,0.9844305391513292,0.9948360555231998,0,7.756442845247528,0.969555355655941,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4_temp1_0
STUDY_2,binary_simple,gpt_4,Original,Extraversion,Extraverted,-0.9964026673295071,0.9964026673295071,0.9948360555231998,0,7.756442845247528,0.969555355655941,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4_temp1_0
STUDY_2,binary_simple,gpt_4,Original,Extraversion,Talkative,-0.9809160896926008,0.9809160896926008,0.9948360555231998,0,7.756442845247528,0.969555355655941,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4_temp1_0
STUDY_2,binary_simple,gpt_4,Original,Extraversion,Bashful,-0.9796175960062561,0.9796175960062561,0.9948360555231998,0,7.756442845247528,0.969555355655941,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4_temp1_0
STUDY_2,binary_simple,gpt_4,Original,Extraversion,Quiet,-0.9827177180679505,0.9827177180679505,0.9948360555231998,0,7.756442845247528,0.969555355655941,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4_temp1_0
STUDY_2,binary_simple,gpt_4,Original,Extraversion,Shy,-0.9801318389421975,0.9801318389421975,0.9948360555231998,0,7.756442845247528,0.969555355655941,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4_temp1_0
STUDY_2,binary_simple,gpt_4,Original,Extraversion,Withdrawn,-0.98055369324265,0.98055369324265,0.9948360555231998,0,7.756442845247528,0.969555355655941,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4_temp1_0
STUDY_2,binary_simple,gpt_4,Original,Agreeableness,Cooperative,-0.9398724985417314,0.9398724985417314,0.9803574039368456,0,6.933676514266856,0.866709564283357,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4_temp1_0
STUDY_2,binary_simple,gpt_4,Original,Agreeableness,Kind,-0.9838907199979849,0.9838907199979849,0.9803574039368456,0,6.933676514266856,0.866709564283357,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4_temp1_0
STUDY_2,binary_simple,gpt_4,Original,Agreeableness,Sympathetic,-0.9738776030220985,0.9738776030220985,0.9803574039368456,0,6.933676514266856,0.866709564283357,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4_temp1_0
STUDY_2,binary_simple,gpt_4,Original,Agreeableness,Warm,-0.9251547417053397,0.9251547417053397,0.9803574039368456,0,6.933676514266856,0.866709564283357,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4_temp1_0
STUDY_2,binary_simple,gpt_4,Original,Agreeableness,Cold,-0.9657521250929332,0.9657521250929332,0.9803574039368456,0,6.933676514266856,0.866709564283357,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4_temp1_0
STUDY_2,binary_simple,gpt_4,Original,Agreeableness,Harsh,-0.9344917395192477,0.9344917395192477,0.9803574039368456,0,6.933676514266856,0.866709564283357,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4_temp1_0
