Study,Format,Model,Structure_Type,Factor_Domain,Item,Loading,Loading_Abs,Alpha,Omega,Eigenvalue,Variance_Explained,N_Items,N_Participants,RMSEA,CFI,TLI,SRMR,File_Source
STUDY_2,expanded,deepseek_v3,Original,Extraversion,Bold,-0.7573744533073556,0.7573744533073556,0.9587782193831217,0,6.009546083975357,0.7511932604969196,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_deepseek_temp1_0
STUDY_2,expanded,deepseek_v3,Original,Extraversion,Energetic,-0.684695065014795,0.684695065014795,0.9587782193831217,0,6.009546083975357,0.7511932604969196,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_deepseek_temp1_0
STUDY_2,expanded,deepseek_v3,Original,Extraversion,Extraverted,-0.8326193942479373,0.8326193942479373,0.9587782193831217,0,6.009546083975357,0.7511932604969196,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_deepseek_temp1_0
STUDY_2,expanded,deepseek_v3,Original,Extraversion,Talkative,-0.8954313582411646,0.8954313582411646,0.9587782193831217,0,6.009546083975357,0.7511932604969196,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_deepseek_temp1_0
STUDY_2,expanded,deepseek_v3,Original,Extraversion,Bashful,-0.8930284340284956,0.8930284340284956,0.9587782193831217,0,6.009546083975357,0.7511932604969196,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_deepseek_temp1_0
STUDY_2,expanded,deepseek_v3,Original,Extraversion,Quiet,-0.9170541356510387,0.9170541356510387,0.9587782193831217,0,6.009546083975357,0.7511932604969196,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_deepseek_temp1_0
STUDY_2,expanded,deepseek_v3,Original,Extraversion,Shy,-0.9493953905061921,0.9493953905061921,0.9587782193831217,0,6.009546083975357,0.7511932604969196,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_deepseek_temp1_0
STUDY_2,expanded,deepseek_v3,Original,Extraversion,Withdrawn,-0.9655209149393099,0.9655209149393099,0.9587782193831217,0,6.009546083975357,0.7511932604969196,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_deepseek_temp1_0
STUDY_2,expanded,deepseek_v3,Original,Agreeableness,Cooperative,-0.8002963094571146,0.8002963094571146,0.9209538288555943,0,5.139474757071251,0.6424343446339064,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_deepseek_temp1_0
STUDY_2,expanded,deepseek_v3,Original,Agreeableness,Kind,-0.9120623983702691,0.9120623983702691,0.9209538288555943,0,5.139474757071251,0.6424343446339064,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_deepseek_temp1_0
STUDY_2,expanded,deepseek_v3,Original,Agreeableness,Sympathetic,-0.7285170192148327,0.7285170192148327,0.9209538288555943,0,5.139474757071251,0.6424343446339064,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_deepseek_temp1_0
STUDY_2,expanded,deepseek_v3,Original,Agreeableness,Warm,-0.8922806097168642,0.8922806097168642,0.9209538288555943,0,5.139474757071251,0.6424343446339064,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_deepseek_temp1_0
STUDY_2,expanded,deepseek_v3,Original,Agreeableness,Cold,-0.8647229166324465,0.8647229166324465,0.9209538288555943,0,5.139474757071251,0.6424343446339064,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_deepseek_temp1_0
STUDY_2,expanded,deepseek_v3,Original,Agreeableness,Harsh,-0.8065603506572634,0.8065603506572634,0.9209538288555943,0,5.139474757071251,0.6424343446339064,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_deepseek_temp1_0
STUDY_2,expanded,deepseek_v3,Original,Agreeableness,Rude,-0.596430316165798,0.596430316165798,0.9209538288555943,0,5.139474757071251,0.6424343446339064,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_deepseek_temp1_0
STUDY_2,expanded,deepseek_v3,Original,Agreeableness,Unsympathetic,-0.7656543463038367,0.7656543463038367,0.9209538288555943,0,5.139474757071251,0.6424343446339064,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_deepseek_temp1_0
STUDY_2,expanded,deepseek_v3,Original,Conscientiousness,Efficient,-0.60557436895083,0.60557436895083,0.9105163345436699,0,4.715762812310807,0.5894703515388509,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_deepseek_temp1_0
STUDY_2,expanded,deepseek_v3,Original,Conscientiousness,Organized,-0.9617807311319065,0.9617807311319065,0.9105163345436699,0,4.715762812310807,0.5894703515388509,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_deepseek_temp1_0
STUDY_2,expanded,deepseek_v3,Original,Conscientiousness,Practical,-0.5924254498331527,0.5924254498331527,0.9105163345436699,0,4.715762812310807,0.5894703515388509,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_deepseek_temp1_0
STUDY_2,expanded,deepseek_v3,Original,Conscientiousness,Systematic,-0.887304045136156,0.887304045136156,0.9105163345436699,0,4.715762812310807,0.5894703515388509,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_deepseek_temp1_0
STUDY_2,expanded,deepseek_v3,Original,Conscientiousness,Careless,-0.5122131504027873,0.5122131504027873,0.9105163345436699,0,4.715762812310807,0.5894703515388509,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_deepseek_temp1_0
STUDY_2,expanded,deepseek_v3,Original,Conscientiousness,Disorganized,-0.9264018658368602,0.9264018658368602,0.9105163345436699,0,4.715762812310807,0.5894703515388509,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_deepseek_temp1_0
STUDY_2,expanded,deepseek_v3,Original,Conscientiousness,Inefficient,-0.6367312813432595,0.6367312813432595,0.9105163345436699,0,4.715762812310807,0.5894703515388509,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_deepseek_temp1_0
STUDY_2,expanded,deepseek_v3,Original,Conscientiousness,Sloppy,-0.8716274926632321,0.8716274926632321,0.9105163345436699,0,4.715762812310807,0.5894703515388509,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_deepseek_temp1_0
STUDY_2,expanded,deepseek_v3,Original,Neuroticism,Envious,0.9808044721738259,0.9808044721738259,0.8962100354000457,0,4.156166928700287,0.5195208660875359,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_deepseek_temp1_0
STUDY_2,expanded,deepseek_v3,Original,Neuroticism,Fretful,0.4985042128970934,0.4985042128970934,0.8962100354000457,0,4.156166928700287,0.5195208660875359,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_deepseek_temp1_0
STUDY_2,expanded,deepseek_v3,Original,Neuroticism,Jealous,0.986136149815154,0.986136149815154,0.8962100354000457,0,4.156166928700287,0.5195208660875359,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_deepseek_temp1_0
STUDY_2,expanded,deepseek_v3,Original,Neuroticism,Moody,0.5067401269698723,0.5067401269698723,0.8962100354000457,0,4.156166928700287,0.5195208660875359,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_deepseek_temp1_0
STUDY_2,expanded,deepseek_v3,Original,Neuroticism,Temperamental,0.4973958418983798,0.4973958418983798,0.8962100354000457,0,4.156166928700287,0.5195208660875359,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_deepseek_temp1_0
STUDY_2,expanded,deepseek_v3,Original,Neuroticism,Touchy,0.6435085683566644,0.6435085683566644,0.8962100354000457,0,4.156166928700287,0.5195208660875359,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_deepseek_temp1_0
