Study,Format,Model,Structure_Type,Factor_Domain,Item,Loading,Loading_Abs,Alpha,Omega,Eigenvalue,Variance_Explained,N_Items,N_Participants,RMSEA,CFI,TLI,SRMR,File_Source
STUDY_2,expanded,gpt_4,Original,Extraversion,Bold,0.5971354392883423,0.5971354392883423,0.9323389105420045,0,4.957468093365331,0.6196835116706664,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_gpt_4_temp1_0
STUDY_2,expanded,gpt_4,Original,Extraversion,Energetic,0.5547079559179323,0.5547079559179323,0.9323389105420045,0,4.957468093365331,0.6196835116706664,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_gpt_4_temp1_0
STUDY_2,expanded,gpt_4,Original,Extraversion,Extraverted,0.6410028308181358,0.6410028308181358,0.9323389105420045,0,4.957468093365331,0.6196835116706664,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_gpt_4_temp1_0
STUDY_2,expanded,gpt_4,Original,Extraversion,Talkative,0.6985964526073932,0.6985964526073932,0.9323389105420045,0,4.957468093365331,0.6196835116706664,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_gpt_4_temp1_0
STUDY_2,expanded,gpt_4,Original,Extraversion,Bashful,0.9195816685884496,0.9195816685884496,0.9323389105420045,0,4.957468093365331,0.6196835116706664,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_gpt_4_temp1_0
STUDY_2,expanded,gpt_4,Original,Extraversion,Quiet,0.8382071246238156,0.8382071246238156,0.9323389105420045,0,4.957468093365331,0.6196835116706664,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_gpt_4_temp1_0
STUDY_2,expanded,gpt_4,Original,Extraversion,Shy,0.9628828527539308,0.9628828527539308,0.9323389105420045,0,4.957468093365331,0.6196835116706664,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_gpt_4_temp1_0
STUDY_2,expanded,gpt_4,Original,Extraversion,Withdrawn,0.9585978272135354,0.9585978272135354,0.9323389105420045,0,4.957468093365331,0.6196835116706664,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_gpt_4_temp1_0
STUDY_2,expanded,gpt_4,Original,Agreeableness,Cooperative,-0.7648496688565651,0.7648496688565651,0.908037748473998,0,4.649405640785364,0.5811757050981705,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_gpt_4_temp1_0
STUDY_2,expanded,gpt_4,Original,Agreeableness,Kind,-0.8618516314882632,0.8618516314882632,0.908037748473998,0,4.649405640785364,0.5811757050981705,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_gpt_4_temp1_0
STUDY_2,expanded,gpt_4,Original,Agreeableness,Sympathetic,-0.7689974127442701,0.7689974127442701,0.908037748473998,0,4.649405640785364,0.5811757050981705,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_gpt_4_temp1_0
STUDY_2,expanded,gpt_4,Original,Agreeableness,Warm,-0.8599121714315653,0.8599121714315653,0.908037748473998,0,4.649405640785364,0.5811757050981705,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_gpt_4_temp1_0
STUDY_2,expanded,gpt_4,Original,Agreeableness,Cold,-0.7508137368385872,0.7508137368385872,0.908037748473998,0,4.649405640785364,0.5811757050981705,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_gpt_4_temp1_0
STUDY_2,expanded,gpt_4,Original,Agreeableness,Harsh,-0.6688173501895163,0.6688173501895163,0.908037748473998,0,4.649405640785364,0.5811757050981705,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_gpt_4_temp1_0
STUDY_2,expanded,gpt_4,Original,Agreeableness,Rude,-0.5941497857857077,0.5941497857857077,0.908037748473998,0,4.649405640785364,0.5811757050981705,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_gpt_4_temp1_0
STUDY_2,expanded,gpt_4,Original,Agreeableness,Unsympathetic,-0.7916846237382683,0.7916846237382683,0.908037748473998,0,4.649405640785364,0.5811757050981705,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_gpt_4_temp1_0
STUDY_2,expanded,gpt_4,Original,Conscientiousness,Efficient,-0.6092092687144205,0.6092092687144205,0.8773269617125204,0,4.0307526074269715,0.5038440759283714,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_gpt_4_temp1_0
STUDY_2,expanded,gpt_4,Original,Conscientiousness,Organized,-0.9198625006292388,0.9198625006292388,0.8773269617125204,0,4.0307526074269715,0.5038440759283714,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_gpt_4_temp1_0
STUDY_2,expanded,gpt_4,Original,Conscientiousness,Practical,-0.6378696206803298,0.6378696206803298,0.8773269617125204,0,4.0307526074269715,0.5038440759283714,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_gpt_4_temp1_0
STUDY_2,expanded,gpt_4,Original,Conscientiousness,Systematic,-0.8096953483450893,0.8096953483450893,0.8773269617125204,0,4.0307526074269715,0.5038440759283714,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_gpt_4_temp1_0
STUDY_2,expanded,gpt_4,Original,Conscientiousness,Careless,-0.34766126728522934,0.34766126728522934,0.8773269617125204,0,4.0307526074269715,0.5038440759283714,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_gpt_4_temp1_0
