Study,Format,Model,Structure_Type,Factor_Domain,Item,Loading,Loading_Abs,Alpha,Omega,Eigenvalue,Variance_Explained,N_Items,N_Participants,RMSEA,CFI,TLI,SRMR,File_Source
STUDY_2,expanded,llama_3.3_70b,Original,Extraversion,Bold,0.748419648560596,0.748419648560596,0.9652587355687029,0,6.27315500333227,0.7841443754165337,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_llama_temp1_0
STUDY_2,expanded,llama_3.3_70b,Original,Extraversion,Energetic,0.6959975505846226,0.6959975505846226,0.9652587355687029,0,6.27315500333227,0.7841443754165337,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_llama_temp1_0
STUDY_2,expanded,llama_3.3_70b,Original,Extraversion,Extraverted,0.897835733322665,0.897835733322665,0.9652587355687029,0,6.27315500333227,0.7841443754165337,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_llama_temp1_0
STUDY_2,expanded,llama_3.3_70b,Original,Extraversion,Talkative,0.8595340397472039,0.8595340397472039,0.9652587355687029,0,6.27315500333227,0.7841443754165337,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_llama_temp1_0
STUDY_2,expanded,llama_3.3_70b,Original,Extraversion,Bashful,0.9470355954366421,0.9470355954366421,0.9652587355687029,0,6.27315500333227,0.7841443754165337,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_llama_temp1_0
STUDY_2,expanded,llama_3.3_70b,Original,Extraversion,Quiet,0.9302779684188911,0.9302779684188911,0.9652587355687029,0,6.27315500333227,0.7841443754165337,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_llama_temp1_0
STUDY_2,expanded,llama_3.3_70b,Original,Extraversion,Shy,0.9713209965095183,0.9713209965095183,0.9652587355687029,0,6.27315500333227,0.7841443754165337,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_llama_temp1_0
STUDY_2,expanded,llama_3.3_70b,Original,Extraversion,Withdrawn,0.9889108540388543,0.9889108540388543,0.9652587355687029,0,6.27315500333227,0.7841443754165337,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_llama_temp1_0
STUDY_2,expanded,llama_3.3_70b,Original,Agreeableness,Cooperative,-0.7908913828792516,0.7908913828792516,0.940651208815932,0,5.562009998576768,0.695251249822096,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_llama_temp1_0
STUDY_2,expanded,llama_3.3_70b,Original,Agreeableness,Kind,-0.9367188899595691,0.9367188899595691,0.940651208815932,0,5.562009998576768,0.695251249822096,8,438,0,0,0,0,study_2_expanded_results_bfi_to_minimarker_llama_temp1_0
