Study,Format,Model,Structure_Type,Factor_Domain,Item,Loading,Loading_Abs,Alpha,Omega,Eigenvalue,Variance_Explained,N_Items,N_Participants,RMSEA,CFI,TLI,SRMR,File_Source
STUDY_3,binary_elaborated,deepseek_v3,Original,Extraversion,Bold,-0.9966427100131788,0.9966427100131788,0.9938812205875243,0,7.670917572779571,0.9588646965974463,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_deepseek_temp1
STUDY_3,binary_elaborated,deepseek_v3,Original,Extraversion,Energetic,-0.9819555100677971,0.9819555100677971,0.9938812205875243,0,7.670917572779571,0.9588646965974463,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_deepseek_temp1
STUDY_3,binary_elaborated,deepseek_v3,Original,Extraversion,Extraverted,-0.9969625324022297,0.9969625324022297,0.9938812205875243,0,7.670917572779571,0.9588646965974463,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_deepseek_temp1
STUDY_3,binary_elaborated,deepseek_v3,Original,Extraversion,Talkative,-0.9864991073164568,0.9864991073164568,0.9938812205875243,0,7.670917572779571,0.9588646965974463,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_deepseek_temp1
STUDY_3,binary_elaborated,deepseek_v3,Original,Extraversion,Bashful,-0.9668994037987961,0.9668994037987961,0.9938812205875243,0,7.670917572779571,0.9588646965974463,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_deepseek_temp1
STUDY_3,binary_elaborated,deepseek_v3,Original,Extraversion,Quiet,-0.9819494043393089,0.9819494043393089,0.9938812205875243,0,7.670917572779571,0.9588646965974463,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_deepseek_temp1
STUDY_3,binary_elaborated,deepseek_v3,Original,Extraversion,Shy,-0.9730931824441732,0.9730931824441732,0.9938812205875243,0,7.670917572779571,0.9588646965974463,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_deepseek_temp1
STUDY_3,binary_elaborated,deepseek_v3,Original,Extraversion,Withdrawn,-0.9488098051698753,0.9488098051698753,0.9938812205875243,0,7.670917572779571,0.9588646965974463,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_deepseek_temp1
STUDY_3,binary_elaborated,deepseek_v3,Original,Agreeableness,Cooperative,-0.7353435811628192,0.7353435811628192,0.9629196728314338,0,5.7560948020699145,0.7195118502587393,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_deepseek_temp1
STUDY_3,binary_elaborated,deepseek_v3,Original,Agreeableness,Kind,-0.7353435811628187,0.7353435811628187,0.9629196728314338,0,5.7560948020699145,0.7195118502587393,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_deepseek_temp1
