Study,Format,Model,Structure_Type,Factor_Domain,Item,Loading,Loading_Abs,Alpha,Omega,Eigenvalue,Variance_Explained,N_Items,N_Participants,RMSEA,CFI,TLI,SRMR,File_Source
STUDY_3,binary_elaborated,gpt_4,Original,Extraversion,Bold,-0.991118846792642,0.991118846792642,0.9934603374487672,0,7.6702750502463,0.9587843812807875,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4_temp1
STUDY_3,binary_elaborated,gpt_4,Original,Extraversion,Energetic,-0.9815582379407859,0.9815582379407859,0.9934603374487672,0,7.6702750502463,0.9587843812807875,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4_temp1
STUDY_3,binary_elaborated,gpt_4,Original,Extraversion,Extraverted,-0.9948142342771011,0.9948142342771011,0.9934603374487672,0,7.6702750502463,0.9587843812807875,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4_temp1
STUDY_3,binary_elaborated,gpt_4,Original,Extraversion,Talkative,-0.9775791817626105,0.9775791817626105,0.9934603374487672,0,7.6702750502463,0.9587843812807875,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4_temp1
STUDY_3,binary_elaborated,gpt_4,Original,Extraversion,Bashful,-0.9526535852210513,0.9526535852210513,0.9934603374487672,0,7.6702750502463,0.9587843812807875,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4_temp1
STUDY_3,binary_elaborated,gpt_4,Original,Extraversion,Quiet,-0.9829541599879855,0.9829541599879855,0.9934603374487672,0,7.6702750502463,0.9587843812807875,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4_temp1
STUDY_3,binary_elaborated,gpt_4,Original,Extraversion,Shy,-0.9765287427053696,0.9765287427053696,0.9934603374487672,0,7.6702750502463,0.9587843812807875,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4_temp1
STUDY_3,binary_elaborated,gpt_4,Original,Extraversion,Withdrawn,-0.975617430436426,0.975617430436426,0.9934603374487672,0,7.6702750502463,0.9587843812807875,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4_temp1
STUDY_3,binary_elaborated,gpt_4,Original,Agreeableness,Cooperative,-0.9148809128598142,0.9148809128598142,0.9730969519759639,0,6.611783669348691,0.8264729586685864,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4_temp1
STUDY_3,binary_elaborated,gpt_4,Original,Agreeableness,Kind,-0.9836570510775199,0.9836570510775199,0.9730969519759639,0,6.611783669348691,0.8264729586685864,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4_temp1
