Study,Format,Model,Structure_Type,Factor_Domain,Item,Loading,Loading_Abs,Alpha,Omega,Eigenvalue,Variance_Explained,N_Items,N_Participants,RMSEA,CFI,TLI,SRMR,File_Source
STUDY_3,binary_elaborated,gpt_4o,Original,Extraversion,Bold,-0.983281419310467,0.983281419310467,0.9943484180229429,0,7.681265420580089,0.9601581775725111,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Extraversion,Energetic,-0.9905425131738016,0.9905425131738016,0.9943484180229429,0,7.681265420580089,0.9601581775725111,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Extraversion,Extraverted,-0.9982083031502426,0.9982083031502426,0.9943484180229429,0,7.681265420580089,0.9601581775725111,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Extraversion,Talkative,-0.9984900122208592,0.9984900122208592,0.9943484180229429,0,7.681265420580089,0.9601581775725111,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Extraversion,Bashful,-0.9542952083224916,0.9542952083224916,0.9943484180229429,0,7.681265420580089,0.9601581775725111,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Extraversion,Quiet,-0.9821791249197808,0.9821791249197808,0.9943484180229429,0,7.681265420580089,0.9601581775725111,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Extraversion,Shy,-0.9616315426976122,0.9616315426976122,0.9943484180229429,0,7.681265420580089,0.9601581775725111,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Extraversion,Withdrawn,-0.9694101699821752,0.9694101699821752,0.9943484180229429,0,7.681265420580089,0.9601581775725111,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Agreeableness,Cooperative,-0.9368414489370734,0.9368414489370734,0.9751110477199558,0,6.567458519551775,0.8209323149439719,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Agreeableness,Kind,-0.9769306655163331,0.9769306655163331,0.9751110477199558,0,6.567458519551775,0.8209323149439719,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Agreeableness,Sympathetic,-0.9735370655489438,0.9735370655489438,0.9751110477199558,0,6.567458519551775,0.8209323149439719,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Agreeableness,Warm,-0.9007483153381096,0.9007483153381096,0.9751110477199558,0,6.567458519551775,0.8209323149439719,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Agreeableness,Cold,-0.8576299079978582,0.8576299079978582,0.9751110477199558,0,6.567458519551775,0.8209323149439719,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Agreeableness,Harsh,-0.8517221441052538,0.8517221441052538,0.9751110477199558,0,6.567458519551775,0.8209323149439719,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Agreeableness,Rude,-0.8716247722514223,0.8716247722514223,0.9751110477199558,0,6.567458519551775,0.8209323149439719,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Agreeableness,Unsympathetic,-0.8692420461775733,0.8692420461775733,0.9751110477199558,0,6.567458519551775,0.8209323149439719,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Conscientiousness,Efficient,-0.9659222581814987,0.9659222581814987,0.9866251507025549,0,7.2983680390515,0.9122960048814375,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Conscientiousness,Organized,-0.9715272480512441,0.9715272480512441,0.9866251507025549,0,7.2983680390515,0.9122960048814375,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Conscientiousness,Practical,-0.7452458767205224,0.7452458767205224,0.9866251507025549,0,7.2983680390515,0.9122960048814375,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Conscientiousness,Systematic,-0.9622768782989721,0.9622768782989721,0.9866251507025549,0,7.2983680390515,0.9122960048814375,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Conscientiousness,Careless,-0.9901695343072935,0.9901695343072935,0.9866251507025549,0,7.2983680390515,0.9122960048814375,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Conscientiousness,Disorganized,-0.9944744289088249,0.9944744289088249,0.9866251507025549,0,7.2983680390515,0.9122960048814375,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Conscientiousness,Inefficient,-0.991368381433955,0.991368381433955,0.9866251507025549,0,7.2983680390515,0.9122960048814375,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Conscientiousness,Sloppy,-0.9939328272506346,0.9939328272506346,0.9866251507025549,0,7.2983680390515,0.9122960048814375,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Neuroticism,Envious,-0.9838798968763507,0.9838798968763507,0.9956764599188449,0,7.79848589567411,0.9748107369592638,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Neuroticism,Fretful,-0.9940858451834489,0.9940858451834489,0.9956764599188449,0,7.79848589567411,0.9748107369592638,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Neuroticism,Jealous,-0.9852423794188453,0.9852423794188453,0.9956764599188449,0,7.79848589567411,0.9748107369592638,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Neuroticism,Moody,-0.9916884121544728,0.9916884121544728,0.9956764599188449,0,7.79848589567411,0.9748107369592638,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Neuroticism,Temperamental,-0.9951847848303552,0.9951847848303552,0.9956764599188449,0,7.79848589567411,0.9748107369592638,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Neuroticism,Touchy,-0.9954057642136567,0.9954057642136567,0.9956764599188449,0,7.79848589567411,0.9748107369592638,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Neuroticism,Relaxed,-0.978478248080514,0.978478248080514,0.9956764599188449,0,7.79848589567411,0.9748107369592638,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Neuroticism,Unenvious,-0.9744054855366454,0.9744054855366454,0.9956764599188449,0,7.79848589567411,0.9748107369592638,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Openness,Complex,-0.9481603255758555,0.9481603255758555,0.9859445692423867,0,7.215663373175698,0.9019579216469622,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Openness,Creative,-0.9728110503605595,0.9728110503605595,0.9859445692423867,0,7.215663373175698,0.9019579216469622,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Openness,Deep,-0.9305504241589254,0.9305504241589254,0.9859445692423867,0,7.215663373175698,0.9019579216469622,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Openness,Imaginative,-0.9815159572176474,0.9815159572176474,0.9859445692423867,0,7.215663373175698,0.9019579216469622,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Openness,Intellectual,-0.9472073627060398,0.9472073627060398,0.9859445692423867,0,7.215663373175698,0.9019579216469622,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Openness,Philosophical,-0.9554569415134876,0.9554569415134876,0.9859445692423867,0,7.215663373175698,0.9019579216469622,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Openness,Uncreative,-0.935358469995222,0.935358469995222,0.9859445692423867,0,7.215663373175698,0.9019579216469622,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_elaborated,gpt_4o,Original,Openness,Unintellectual,-0.925203297582806,0.925203297582806,0.9859445692423867,0,7.215663373175698,0.9019579216469622,8,200,0,0,0,0,study_3_binary_elaborated_results_bfi_to_minimarker_binary_gpt_4o_temp1
