Study,Format,Model,Structure_Type,Factor_Domain,Item,Loading,Loading_Abs,Alpha,Omega,Eigenvalue,Variance_Explained,N_Items,N_Participants,RMSEA,CFI,TLI,SRMR,File_Source
STUDY_3,binary_simple,gpt_3.5_turbo,Original,Extraversion,Bold,-0.7930194920548654,0.7930194920548654,0.918586613031325,0,4.402316718024503,0.5502895897530629,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1
STUDY_3,binary_simple,gpt_3.5_turbo,Original,Extraversion,Energetic,-0.92569350002878,0.92569350002878,0.918586613031325,0,4.402316718024503,0.5502895897530629,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1
STUDY_3,binary_simple,gpt_3.5_turbo,Original,Extraversion,Extraverted,-0.9902636448522764,0.9902636448522764,0.918586613031325,0,4.402316718024503,0.5502895897530629,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1
STUDY_3,binary_simple,gpt_3.5_turbo,Original,Extraversion,Talkative,-0.9875387067119394,0.9875387067119394,0.918586613031325,0,4.402316718024503,0.5502895897530629,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1
STUDY_3,binary_simple,gpt_3.5_turbo,Original,Extraversion,Bashful,-0.5179570275367446,0.5179570275367446,0.918586613031325,0,4.402316718024503,0.5502895897530629,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1
STUDY_3,binary_simple,gpt_3.5_turbo,Original,Extraversion,Quiet,-0.33935401414604627,0.33935401414604627,0.918586613031325,0,4.402316718024503,0.5502895897530629,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1
STUDY_3,binary_simple,gpt_3.5_turbo,Original,Extraversion,Shy,-0.5313817760483719,0.5313817760483719,0.918586613031325,0,4.402316718024503,0.5502895897530629,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1
STUDY_3,binary_simple,gpt_3.5_turbo,Original,Extraversion,Withdrawn,-0.5430159688918461,0.5430159688918461,0.918586613031325,0,4.402316718024503,0.5502895897530629,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1
STUDY_3,binary_simple,gpt_3.5_turbo,Original,Agreeableness,Cooperative,-0.7762495115947725,0.7762495115947725,0.811979221474969,0,3.277056687276187,0.4096320859095234,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1
STUDY_3,binary_simple,gpt_3.5_turbo,Original,Agreeableness,Kind,-0.9665082827739905,0.9665082827739905,0.811979221474969,0,3.277056687276187,0.4096320859095234,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1
STUDY_3,binary_simple,gpt_3.5_turbo,Original,Agreeableness,Sympathetic,-0.9332681519739704,0.9332681519739704,0.811979221474969,0,3.277056687276187,0.4096320859095234,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1
STUDY_3,binary_simple,gpt_3.5_turbo,Original,Agreeableness,Warm,-0.8706868872378465,0.8706868872378465,0.811979221474969,0,3.277056687276187,0.4096320859095234,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1
STUDY_3,binary_simple,gpt_3.5_turbo,Original,Agreeableness,Cold,0.0086050846828779,0.0086050846828779,0.811979221474969,0,3.277056687276187,0.4096320859095234,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1
STUDY_3,binary_simple,gpt_3.5_turbo,Original,Agreeableness,Harsh,-0.1582839934039224,0.1582839934039224,0.811979221474969,0,3.277056687276187,0.4096320859095234,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1
STUDY_3,binary_simple,gpt_3.5_turbo,Original,Agreeableness,Rude,-0.24392612519595425,0.24392612519595425,0.811979221474969,0,3.277056687276187,0.4096320859095234,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1
STUDY_3,binary_simple,gpt_3.5_turbo,Original,Agreeableness,Unsympathetic,-0.16322438131017916,0.16322438131017916,0.811979221474969,0,3.277056687276187,0.4096320859095234,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1
