Study,Format,Model,Structure_Type,Factor_Domain,Item,Loading,Loading_Abs,Alpha,Omega,Eigenvalue,Variance_Explained,N_Items,N_Participants,RMSEA,CFI,TLI,SRMR,File_Source
STUDY_3,binary_simple,gpt_4o,Original,Extraversion,Bold,-0.9848965704383974,0.9848965704383974,0.989356445492001,0,7.406250318629668,0.9257812898287086,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_simple,gpt_4o,Original,Extraversion,Energetic,-0.9794429727076317,0.9794429727076317,0.989356445492001,0,7.406250318629668,0.9257812898287086,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_simple,gpt_4o,Original,Extraversion,Extraverted,-0.9952730652015258,0.9952730652015258,0.989356445492001,0,7.406250318629668,0.9257812898287086,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_simple,gpt_4o,Original,Extraversion,Talkative,-0.9927854201815375,0.9927854201815375,0.989356445492001,0,7.406250318629668,0.9257812898287086,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_simple,gpt_4o,Original,Extraversion,Bashful,-0.8210888113706519,0.8210888113706519,0.989356445492001,0,7.406250318629668,0.9257812898287086,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_simple,gpt_4o,Original,Extraversion,Quiet,-0.9890722220492227,0.9890722220492227,0.989356445492001,0,7.406250318629668,0.9257812898287086,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_simple,gpt_4o,Original,Extraversion,Shy,-0.9599532663453852,0.9599532663453852,0.989356445492001,0,7.406250318629668,0.9257812898287086,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_simple,gpt_4o,Original,Extraversion,Withdrawn,-0.9626880036578234,0.9626880036578234,0.989356445492001,0,7.406250318629668,0.9257812898287086,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_simple,gpt_4o,Original,Agreeableness,Cooperative,-0.942613145144769,0.942613145144769,0.9677321899582856,0,6.303890816305505,0.7879863520381881,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_simple,gpt_4o,Original,Agreeableness,Kind,-0.9412436442648431,0.9412436442648431,0.9677321899582856,0,6.303890816305505,0.7879863520381881,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_simple,gpt_4o,Original,Agreeableness,Sympathetic,-0.9533821669686219,0.9533821669686219,0.9677321899582856,0,6.303890816305505,0.7879863520381881,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_simple,gpt_4o,Original,Agreeableness,Warm,-0.919269156678922,0.919269156678922,0.9677321899582856,0,6.303890816305505,0.7879863520381881,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_simple,gpt_4o,Original,Agreeableness,Cold,-0.8288144312092571,0.8288144312092571,0.9677321899582856,0,6.303890816305505,0.7879863520381881,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_simple,gpt_4o,Original,Agreeableness,Harsh,-0.7507498415437451,0.7507498415437451,0.9677321899582856,0,6.303890816305505,0.7879863520381881,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_simple,gpt_4o,Original,Agreeableness,Rude,-0.8686672363548221,0.8686672363548221,0.9677321899582856,0,6.303890816305505,0.7879863520381881,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_simple,gpt_4o,Original,Agreeableness,Unsympathetic,-0.877665588277711,0.877665588277711,0.9677321899582856,0,6.303890816305505,0.7879863520381881,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_simple,gpt_4o,Original,Conscientiousness,Efficient,-0.9809375479443935,0.9809375479443935,0.9885158544520843,0,7.3687443808726565,0.9210930476090821,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_simple,gpt_4o,Original,Conscientiousness,Organized,-0.9810103565633987,0.9810103565633987,0.9885158544520843,0,7.3687443808726565,0.9210930476090821,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_simple,gpt_4o,Original,Conscientiousness,Practical,-0.7920632665278681,0.7920632665278681,0.9885158544520843,0,7.3687443808726565,0.9210930476090821,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_simple,gpt_4o,Original,Conscientiousness,Systematic,-0.9801378692302293,0.9801378692302293,0.9885158544520843,0,7.3687443808726565,0.9210930476090821,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_simple,gpt_4o,Original,Conscientiousness,Careless,-0.9814501925344502,0.9814501925344502,0.9885158544520843,0,7.3687443808726565,0.9210930476090821,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_simple,gpt_4o,Original,Conscientiousness,Disorganized,-0.978473755338876,0.978473755338876,0.9885158544520843,0,7.3687443808726565,0.9210930476090821,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_simple,gpt_4o,Original,Conscientiousness,Inefficient,-0.984067238928134,0.984067238928134,0.9885158544520843,0,7.3687443808726565,0.9210930476090821,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_simple,gpt_4o,Original,Conscientiousness,Sloppy,-0.9833851871440643,0.9833851871440643,0.9885158544520843,0,7.3687443808726565,0.9210930476090821,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_simple,gpt_4o,Original,Neuroticism,Envious,-0.9888953474458647,0.9888953474458647,0.9973783582558378,0,7.846458671929857,0.9808073339912321,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_simple,gpt_4o,Original,Neuroticism,Fretful,-0.9940343704179886,0.9940343704179886,0.9973783582558378,0,7.846458671929857,0.9808073339912321,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_simple,gpt_4o,Original,Neuroticism,Jealous,-0.9906884445026801,0.9906884445026801,0.9973783582558378,0,7.846458671929857,0.9808073339912321,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_simple,gpt_4o,Original,Neuroticism,Moody,-0.9963866982615525,0.9963866982615525,0.9973783582558378,0,7.846458671929857,0.9808073339912321,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1
STUDY_3,binary_simple,gpt_4o,Original,Neuroticism,Temperamental,-0.9969673746948827,0.9969673746948827,0.9973783582558378,0,7.846458671929857,0.9808073339912321,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1
