Study,Format,Model,Structure_Type,Factor_Domain,Item,Loading,Loading_Abs,Alpha,Omega,Eigenvalue,Variance_Explained,N_Items,N_Participants,RMSEA,CFI,TLI,SRMR,File_Source
STUDY_3,binary_simple,llama_3.3_70b,Original,Extraversion,Bold,-0.9972283156054298,0.9972283156054298,0.9934277573770895,0,7.881970160396611,0.9852462700495763,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_llama_temp1
STUDY_3,binary_simple,llama_3.3_70b,Original,Extraversion,Energetic,-0.9769429568906488,0.9769429568906488,0.9934277573770895,0,7.881970160396611,0.9852462700495763,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_llama_temp1
STUDY_3,binary_simple,llama_3.3_70b,Original,Extraversion,Extraverted,-0.9979176131061304,0.9979176131061304,0.9934277573770895,0,7.881970160396611,0.9852462700495763,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_llama_temp1
STUDY_3,binary_simple,llama_3.3_70b,Original,Extraversion,Talkative,-0.9857784935038164,0.9857784935038164,0.9934277573770895,0,7.881970160396611,0.9852462700495763,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_llama_temp1
STUDY_3,binary_simple,llama_3.3_70b,Original,Extraversion,Bashful,-0.9944218768238353,0.9944218768238353,0.9934277573770895,0,7.881970160396611,0.9852462700495763,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_llama_temp1
STUDY_3,binary_simple,llama_3.3_70b,Original,Extraversion,Quiet,-0.9981897125014787,0.9981897125014787,0.9934277573770895,0,7.881970160396611,0.9852462700495763,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_llama_temp1
STUDY_3,binary_simple,llama_3.3_70b,Original,Extraversion,Shy,-0.9941087510254559,0.9941087510254559,0.9934277573770895,0,7.881970160396611,0.9852462700495763,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_llama_temp1
STUDY_3,binary_simple,llama_3.3_70b,Original,Extraversion,Withdrawn,-0.9959817895001989,0.9959817895001989,0.9934277573770895,0,7.881970160396611,0.9852462700495763,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_llama_temp1
STUDY_3,binary_simple,llama_3.3_70b,Original,Agreeableness,Cooperative,-0.796159838206906,0.796159838206906,0.9650128090620771,0,6.140200627660077,0.7675250784575096,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_llama_temp1
STUDY_3,binary_simple,llama_3.3_70b,Original,Agreeableness,Kind,-0.7986470132308447,0.7986470132308447,0.9650128090620771,0,6.140200627660077,0.7675250784575096,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_llama_temp1
STUDY_3,binary_simple,llama_3.3_70b,Original,Agreeableness,Sympathetic,-0.7189155374576309,0.7189155374576309,0.9650128090620771,0,6.140200627660077,0.7675250784575096,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_llama_temp1
STUDY_3,binary_simple,llama_3.3_70b,Original,Agreeableness,Warm,-0.7216291820777606,0.7216291820777606,0.9650128090620771,0,6.140200627660077,0.7675250784575096,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_llama_temp1
STUDY_3,binary_simple,llama_3.3_70b,Original,Agreeableness,Cold,-0.9756821279253622,0.9756821279253622,0.9650128090620771,0,6.140200627660077,0.7675250784575096,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_llama_temp1
STUDY_3,binary_simple,llama_3.3_70b,Original,Agreeableness,Harsh,-0.9920299492428645,0.9920299492428645,0.9650128090620771,0,6.140200627660077,0.7675250784575096,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_llama_temp1
STUDY_3,binary_simple,llama_3.3_70b,Original,Agreeableness,Rude,-0.9602435806425921,0.9602435806425921,0.9650128090620771,0,6.140200627660077,0.7675250784575096,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_llama_temp1
STUDY_3,binary_simple,llama_3.3_70b,Original,Agreeableness,Unsympathetic,-0.9862849955294861,0.9862849955294861,0.9650128090620771,0,6.140200627660077,0.7675250784575096,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_llama_temp1
STUDY_3,binary_simple,llama_3.3_70b,Original,Conscientiousness,Efficient,-0.9886963818841042,0.9886963818841042,0.9881762971151019,0,7.559905490924639,0.9449881863655799,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_llama_temp1
STUDY_3,binary_simple,llama_3.3_70b,Original,Conscientiousness,Organized,-0.988948127856277,0.988948127856277,0.9881762971151019,0,7.559905490924639,0.9449881863655799,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_llama_temp1
STUDY_3,binary_simple,llama_3.3_70b,Original,Conscientiousness,Practical,-0.8685456383289014,0.8685456383289014,0.9881762971151019,0,7.559905490924639,0.9449881863655799,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_llama_temp1
STUDY_3,binary_simple,llama_3.3_70b,Original,Conscientiousness,Systematic,-0.9464966033778379,0.9464966033778379,0.9881762971151019,0,7.559905490924639,0.9449881863655799,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_llama_temp1
STUDY_3,binary_simple,llama_3.3_70b,Original,Conscientiousness,Careless,-0.9811256484470756,0.9811256484470756,0.9881762971151019,0,7.559905490924639,0.9449881863655799,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_llama_temp1
STUDY_3,binary_simple,llama_3.3_70b,Original,Conscientiousness,Disorganized,-0.9981467181771962,0.9981467181771962,0.9881762971151019,0,7.559905490924639,0.9449881863655799,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_llama_temp1
STUDY_3,binary_simple,llama_3.3_70b,Original,Conscientiousness,Inefficient,-0.9986718313397264,0.9986718313397264,0.9881762971151019,0,7.559905490924639,0.9449881863655799,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_llama_temp1
STUDY_3,binary_simple,llama_3.3_70b,Original,Conscientiousness,Sloppy,-0.9989441295475423,0.9989441295475423,0.9881762971151019,0,7.559905490924639,0.9449881863655799,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_llama_temp1
STUDY_3,binary_simple,llama_3.3_70b,Original,Neuroticism,Envious,-0.8783613788149987,0.8783613788149987,0.9661325950361401,0,6.938387224990802,0.8672984031238502,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_llama_temp1
STUDY_3,binary_simple,llama_3.3_70b,Original,Neuroticism,Fretful,-0.9857614124113551,0.9857614124113551,0.9661325950361401,0,6.938387224990802,0.8672984031238502,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_llama_temp1
STUDY_3,binary_simple,llama_3.3_70b,Original,Neuroticism,Jealous,-0.8253756590897114,0.8253756590897114,0.9661325950361401,0,6.938387224990802,0.8672984031238502,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_llama_temp1
STUDY_3,binary_simple,llama_3.3_70b,Original,Neuroticism,Moody,-0.994732776066681,0.994732776066681,0.9661325950361401,0,6.938387224990802,0.8672984031238502,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_llama_temp1
STUDY_3,binary_simple,llama_3.3_70b,Original,Neuroticism,Temperamental,-0.9854327376478119,0.9854327376478119,0.9661325950361401,0,6.938387224990802,0.8672984031238502,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_llama_temp1
STUDY_3,binary_simple,llama_3.3_70b,Original,Neuroticism,Touchy,-0.9891847184237706,0.9891847184237706,0.9661325950361401,0,6.938387224990802,0.8672984031238502,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_llama_temp1
STUDY_3,binary_simple,llama_3.3_70b,Original,Neuroticism,Relaxed,-0.9279157220804397,0.9279157220804397,0.9661325950361401,0,6.938387224990802,0.8672984031238502,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_llama_temp1
STUDY_3,binary_simple,llama_3.3_70b,Original,Neuroticism,Unenvious,-0.8448745479202491,0.8448745479202491,0.9661325950361401,0,6.938387224990802,0.8672984031238502,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_llama_temp1
STUDY_3,binary_simple,llama_3.3_70b,Original,Openness,Complex,-0.8402246002562407,0.8402246002562407,0.962119534858751,0,6.271657952252271,0.7839572440315339,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_llama_temp1
STUDY_3,binary_simple,llama_3.3_70b,Original,Openness,Creative,-0.9779679600118175,0.9779679600118175,0.962119534858751,0,6.271657952252271,0.7839572440315339,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_llama_temp1
STUDY_3,binary_simple,llama_3.3_70b,Original,Openness,Deep,-0.9177129232704724,0.9177129232704724,0.962119534858751,0,6.271657952252271,0.7839572440315339,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_llama_temp1
STUDY_3,binary_simple,llama_3.3_70b,Original,Openness,Imaginative,-0.9829613809216211,0.9829613809216211,0.962119534858751,0,6.271657952252271,0.7839572440315339,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_llama_temp1
STUDY_3,binary_simple,llama_3.3_70b,Original,Openness,Intellectual,-0.8909235799937816,0.8909235799937816,0.962119534858751,0,6.271657952252271,0.7839572440315339,8,200,0,0,0,0,study_3_binary_simple_results_bfi_to_minimarker_binary_llama_temp1
