Study,Format,Model,Structure_Type,Factor_Domain,Item,Loading,Loading_Abs,Alpha,Omega,Eigenvalue,Variance_Explained,N_Items,N_Participants,RMSEA,CFI,TLI,SRMR,File_Source
STUDY_3,expanded,gpt_4o,Original,Extraversion,Bold,-0.7371232709246661,0.7371232709246661,0.9559344224339508,0,5.889313927498791,0.7361642409373489,8,200,0,0,0,0,study_3_expanded_results_bfi_to_minimarker_gpt_4o_temp1
STUDY_3,expanded,gpt_4o,Original,Extraversion,Energetic,-0.6072143018921375,0.6072143018921375,0.9559344224339508,0,5.889313927498791,0.7361642409373489,8,200,0,0,0,0,study_3_expanded_results_bfi_to_minimarker_gpt_4o_temp1
STUDY_3,expanded,gpt_4o,Original,Extraversion,Extraverted,-0.9279882083812692,0.9279882083812692,0.9559344224339508,0,5.889313927498791,0.7361642409373489,8,200,0,0,0,0,study_3_expanded_results_bfi_to_minimarker_gpt_4o_temp1
STUDY_3,expanded,gpt_4o,Original,Extraversion,Talkative,-0.8744179031893647,0.8744179031893647,0.9559344224339508,0,5.889313927498791,0.7361642409373489,8,200,0,0,0,0,study_3_expanded_results_bfi_to_minimarker_gpt_4o_temp1
STUDY_3,expanded,gpt_4o,Original,Extraversion,Bashful,-0.8812353481500123,0.8812353481500123,0.9559344224339508,0,5.889313927498791,0.7361642409373489,8,200,0,0,0,0,study_3_expanded_results_bfi_to_minimarker_gpt_4o_temp1
STUDY_3,expanded,gpt_4o,Original,Extraversion,Quiet,-0.9115482976292658,0.9115482976292658,0.9559344224339508,0,5.889313927498791,0.7361642409373489,8,200,0,0,0,0,study_3_expanded_results_bfi_to_minimarker_gpt_4o_temp1
STUDY_3,expanded,gpt_4o,Original,Extraversion,Shy,-0.8952341003520001,0.8952341003520001,0.9559344224339508,0,5.889313927498791,0.7361642409373489,8,200,0,0,0,0,study_3_expanded_results_bfi_to_minimarker_gpt_4o_temp1
STUDY_3,expanded,gpt_4o,Original,Extraversion,Withdrawn,-0.9708476121678685,0.9708476121678685,0.9559344224339508,0,5.889313927498791,0.7361642409373489,8,200,0,0,0,0,study_3_expanded_results_bfi_to_minimarker_gpt_4o_temp1
STUDY_3,expanded,gpt_4o,Original,Agreeableness,Cooperative,-0.7595956439485202,0.7595956439485202,0.9413006218480033,0,5.56158170250768,0.69519771281346,8,200,0,0,0,0,study_3_expanded_results_bfi_to_minimarker_gpt_4o_temp1
STUDY_3,expanded,gpt_4o,Original,Agreeableness,Kind,-0.9465672925946459,0.9465672925946459,0.9413006218480033,0,5.56158170250768,0.69519771281346,8,200,0,0,0,0,study_3_expanded_results_bfi_to_minimarker_gpt_4o_temp1
STUDY_3,expanded,gpt_4o,Original,Agreeableness,Sympathetic,-0.8838459260232764,0.8838459260232764,0.9413006218480033,0,5.56158170250768,0.69519771281346,8,200,0,0,0,0,study_3_expanded_results_bfi_to_minimarker_gpt_4o_temp1
STUDY_3,expanded,gpt_4o,Original,Agreeableness,Warm,-0.9322132945442869,0.9322132945442869,0.9413006218480033,0,5.56158170250768,0.69519771281346,8,200,0,0,0,0,study_3_expanded_results_bfi_to_minimarker_gpt_4o_temp1
STUDY_3,expanded,gpt_4o,Original,Agreeableness,Cold,-0.8826535089286214,0.8826535089286214,0.9413006218480033,0,5.56158170250768,0.69519771281346,8,200,0,0,0,0,study_3_expanded_results_bfi_to_minimarker_gpt_4o_temp1
STUDY_3,expanded,gpt_4o,Original,Agreeableness,Harsh,-0.7159317512406234,0.7159317512406234,0.9413006218480033,0,5.56158170250768,0.69519771281346,8,200,0,0,0,0,study_3_expanded_results_bfi_to_minimarker_gpt_4o_temp1
STUDY_3,expanded,gpt_4o,Original,Agreeableness,Rude,-0.5638145809374603,0.5638145809374603,0.9413006218480033,0,5.56158170250768,0.69519771281346,8,200,0,0,0,0,study_3_expanded_results_bfi_to_minimarker_gpt_4o_temp1
STUDY_3,expanded,gpt_4o,Original,Agreeableness,Unsympathetic,-0.9104278677539157,0.9104278677539157,0.9413006218480033,0,5.56158170250768,0.69519771281346,8,200,0,0,0,0,study_3_expanded_results_bfi_to_minimarker_gpt_4o_temp1
STUDY_3,expanded,gpt_4o,Original,Conscientiousness,Efficient,-0.6442039508290913,0.6442039508290913,0.9263157400993526,0,5.008865926888241,0.6261082408610301,8,200,0,0,0,0,study_3_expanded_results_bfi_to_minimarker_gpt_4o_temp1
