Study,Format,Model,Structure_Type,Factor_Domain,Item,Loading,Loading_Abs,Alpha,Omega,Eigenvalue,Variance_Explained,N_Items,N_Participants,RMSEA,CFI,TLI,SRMR,File_Source
STUDY_3,likert,gpt_4o,Original,Extraversion,Bold,-0.657668307095077,0.657668307095077,0.9439233120602507,0,5.51435077759311,0.6892938471991388,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_gpt_4o_temp1
STUDY_3,likert,gpt_4o,Original,Extraversion,Energetic,-0.5202113884249973,0.5202113884249973,0.9439233120602507,0,5.51435077759311,0.6892938471991388,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_gpt_4o_temp1
STUDY_3,likert,gpt_4o,Original,Extraversion,Extraverted,-0.8224158993391526,0.8224158993391526,0.9439233120602507,0,5.51435077759311,0.6892938471991388,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_gpt_4o_temp1
STUDY_3,likert,gpt_4o,Original,Extraversion,Talkative,-0.7972740800814311,0.7972740800814311,0.9439233120602507,0,5.51435077759311,0.6892938471991388,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_gpt_4o_temp1
STUDY_3,likert,gpt_4o,Original,Extraversion,Bashful,-0.9472953683600587,0.9472953683600587,0.9439233120602507,0,5.51435077759311,0.6892938471991388,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_gpt_4o_temp1
STUDY_3,likert,gpt_4o,Original,Extraversion,Quiet,-0.8963190907625267,0.8963190907625267,0.9439233120602507,0,5.51435077759311,0.6892938471991388,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_gpt_4o_temp1
STUDY_3,likert,gpt_4o,Original,Extraversion,Shy,-0.9430654165116239,0.9430654165116239,0.9439233120602507,0,5.51435077759311,0.6892938471991388,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_gpt_4o_temp1
STUDY_3,likert,gpt_4o,Original,Extraversion,Withdrawn,-0.9534466997851522,0.9534466997851522,0.9439233120602507,0,5.51435077759311,0.6892938471991388,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_gpt_4o_temp1
STUDY_3,likert,gpt_4o,Original,Agreeableness,Cooperative,-0.8590127737233236,0.8590127737233236,0.9467711143829294,0,5.563535391188393,0.6954419238985491,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_gpt_4o_temp1
STUDY_3,likert,gpt_4o,Original,Agreeableness,Kind,-0.9057330106418842,0.9057330106418842,0.9467711143829294,0,5.563535391188393,0.6954419238985491,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_gpt_4o_temp1
