Study,Condition,Model,Bold,Energetic,Extraverted,Talkative,Bashful,Quiet,Shy,Withdrawn,Cooperative,Kind,Sympathetic,Warm,Cold,Harsh,Rude,Unsympathetic,Efficient,Organized,Practical,Systematic,Careless,Disorganized,Inefficient,Sloppy,Envious,Fretful,Jealous,Moody,Temperamental,Touchy,Relaxed,Unenvious,Complex,Creative,Deep,Imaginative,Intellectual,Philosophical,Uncreative,Unintellectual
STUDY_2,Elaborated Binary,deepseek,0.9983802505411103,0.9878244126237562,0.9985759085144719,0.991513434580078,0.9795060835850494,0.9840892870652003,0.9816089275079888,0.9615203653403843,0.9979841873035377,0.9975448772783719,0.998411558891684,0.7642995572767349,0.8199120944119298,0.8098278157605505,0.767199777252652,0.7663584939705307,0.9675629923926501,0.9757896790304036,0.705283980074885,0.9691855231768662,0.9783731271722753,0.9842370052665026,0.9739696222734843,0.968381037806159,0.9219986655976219,0.9930306920576437,0.9242917416196006,0.995304646149223,0.9906668539718936,0.9828260711601745,0.9443082458393502,0.8961904516938541,0.9125898593666838,0.9808305040316522,0.9465222127185743,0.9890717999513366,0.9515733417932605,0.942167684640356,0.8461860892794095,0.7939296610788341
STUDY_2,Elaborated Binary,gpt_4,0.9924558579932734,0.9843215607170968,0.9964576112393517,0.983319817635081,0.978224215408764,0.9862558511405023,0.9845473221185592,0.9811492099299416,0.9411861725971851,0.9842492137841251,0.9684463893257158,0.9305848883439098,0.962146127512607,0.9265283102679814,0.8355759490942372,0.8584546235733852,0.9869875046616664,0.9858856316961545,0.8541053715463134,0.9685363344306843,0.9941853118023524,0.9944527983661,0.9809904572675764,0.9673555930833617,0.7159784597460724,0.9928809063593014,0.6963035559566342,0.989703051470457,0.9862002619669634,0.9861544714068313,0.9497309648834135,0.5874949029782669,0.8849569008780258,0.9765356943796653,0.9126130927032859,0.9775801693649107,0.9244086003320677,0.8915997233951483,0.9102017695762662,0.7725094475032473
STUDY_2,Elaborated Binary,gpt_4o,0.9851513930115234,0.9897737170085302,0.9979071061363349,0.9980361558206167,0.9569231556477199,0.9855210242765485,0.9718410375074514,0.9715432791136994,0.9480040353901692,0.983290842199249,0.9782617274442531,0.8901033433824671,0.8739770879617667,0.8532180907281548,0.8797714692928352,0.8781554454369643,0.9621393870550565,0.9660763617349722,0.7159782082641667,0.9535817077762911,0.9845976908440746,0.9947029259645879,0.9907070019484904,0.9946144803719673,0.9835509311192399,0.9946749219068122,0.9826815838909466,0.9932771699714364,0.9945252552433744,0.9954904771393246,0.9795108201111336,0.9760418247376044,0.9350790267309378,0.9757402225042466,0.9259975606914903,0.9866758117694318,0.9480786551456839,0.9470133703583832,0.9278629317926383,0.9042654805651363
STUDY_2,Elaborated Binary,llama,0.9943427732819661,0.9960500780924979,0.9990476522757071,0.9961752643623544,0.9903434031446514,0.9940080177685764,0.9890783883692754,0.9844267903846656,0.7664091393135508,0.7969255331379627,0.7913873431626026,0.6641899125928459,0.9685231532424221,0.9850296069806693,0.9519670774055528,0.9615133335532124,0.9580309577929796,0.9528897134033186,0.68528701977472,0.9359077986649674,0.9582579259808618,0.9986752141208795,0.9935841793957604,0.9937773851305836,0.7052680815823562,0.9835531319632472,0.7373378807362515,0.985331969332481,0.9893875076089155,0.9547453088645519,0.949241669645,0.682485727239282,0.8766777386487142,0.9751774206864235,0.7197629818630598,0.9742178002255943,0.9344872839333116,0.9501210191387608,0.7420708546097602,0.7918255609975119
STUDY_2,Elaborated Binary,gpt_3.5,0.9545291284709613,0.9882531987596467,0.9899004684018414,0.9858589371836193,0.9265742467987794,0.9279309937950452,0.9209947659574116,0.9246885068927414,0.8500627196114208,0.960941385209244,0.9579351324619443,0.8814039038847816,0.08188619840493436,0.21970465045479637,0.3445044785278813,0.35450850036685005,0.9041699303338565,0.9084782571947173,0.8662763154288102,0.9384733511544269,0.25662825696708036,0.6771475234902188,0.6771581454553945,0.6318862550151547,0.9384746454972186,0.1985921852588914,0.9648100094938887,0.2268530075320959,0.24605017876855456,0.3522565272913628,0.17369638149404515,0.258238098430451,0.7042555000705947,0.931341318234748,0.708298805170715,0.9512920318774817,0.9107763199390572,0.7896315709224496,0.37312730038098535,0.43660005567046056
STUDY_2,Expanded Format,deepseek,0.7571534295592335,0.6861651858527087,0.8330948734519131,0.8948985559753053,0.8925423347465686,0.9161821109716867,0.9491049815977871,0.9663980556380573,0.8055981478688351,0.9106764140084138,0.7210487545858206,0.8864120603763117,0.8622576131386673,0.8192766099554945,0.609491396099783,0.7608112829631166,0.6093753497518967,0.958710280840421,0.5946459520126818,0.8846429083366213,0.5180441995723507,0.9275964633551238,0.6410729274140735,0.8749425202333766,0.9804061216814407,0.49928952401424254,0.9857646357076886,0.5093532232271268,0.4990110019531657,0.6454229958414134,0.44723966772820073,0.9260827699291159,0.5179060217002788,0.2848070134012741,0.5317853973467702,0.32111398545852704,0.9973616181048797,0.9959932160610789,0.2964797328196756,0.9518518573290592
STUDY_2,Expanded Format,gpt_4,0.5983592693364572,0.5560338153014158,0.6416655438258335,0.6986502946007678,0.9198024426602908,0.8378977596759196,0.9631279752772877,0.9579713721173287,0.7673583185626387,0.8573798319184956,0.7638006221787478,0.8579330163158198,0.7547117272462358,0.677188560260954,0.6010409821434872,0.7911608392973289,0.6153426772495191,0.9144590785087338,0.6423361161614983,0.8046935754929196,0.35405003706115773,0.8312474802608715,0.6035526726868194,0.7693803695608725,0.9324690856308797,0.2796423471779294,0.9124273729502218,0.3421258193172912,0.32209048269514695,0.3713333477042966,0.3292005610098738,0.8747401310929209,0.43592745484772116,0.29030259255231866,0.44419319094654974,0.31474642107742185,0.9952193606203322,0.9905030236418759,0.2566238764502237,0.8867278067916068
STUDY_2,Expanded Format,gpt_4o,0.711704534244731,0.6848071826199581,0.8824644726805565,0.85582266302756,0.9436122017443268,0.9122795939803167,0.9429167371149961,0.9682722058934695,0.7195222911777991,0.8912143564945558,0.8181794148932126,0.9108848360992896,0.9283222001299531,0.7972281080361269,0.6660494920108264,0.9111294713295888,0.6520706087266016,0.9218923494549129,0.5672565098918982,0.806676036628572,0.651867701429555,0.9363099810285245,0.7854042043059686,0.9252605179704662,0.9439371126648979,0.6448143916529594,0.9426181212017434,0.6501119520881367,0.6928571652750644,0.7887770005608649,0.6059569782092902,0.9420698571326798,0.5418412223790888,0.34763976697296417,0.5738363259974684,0.33812215111037247,0.9871589514878303,0.9797206381929469,0.3883002437337631,0.9380722310246153
STUDY_2,Expanded Format,llama,0.748395938856654,0.696437505394757,0.8980006475405338,0.8590669544954244,0.9468725496008283,0.9300995594713375,0.9710428544940064,0.9892599213188757,0.8001249557628525,0.938512943856419,0.8083139290231545,0.9216004454722962,0.8636375224163986,0.8065770061026135,0.6317456929794945,0.8699357017111462,0.647719281753654,0.9642583969710481,0.8061247687777614,0.9145738529376377,0.5770656199570185,0.9537300229667878,0.791839549498046,0.8823457255806354,0.9505256465394942,0.5836617895071619,0.9705659629095205,0.4875912933526329,0.512683451607816,0.6950687567324854,0.4598880025169977,0.9090215322483111,0.5740550262913918,0.43329631553426445,0.6650195830791142,0.41748863832402927,0.9930185955034545,0.952048212460503,0.42706429503466375,0.89669257719864
STUDY_2,Expanded Format,gpt_3.5,0.7183551607731935,0.6825005099653534,0.7533212790482686,0.751964906517559,0.8792614297946645,0.9162051685288467,0.9800807310181785,0.9771748767269185,0.8429335877847824,0.9474669140455736,0.9234439596605977,0.9554837542506266,0.32742870945817937,0.3988246603979479,0.5108636530475087,0.5915144509184654,0.7554206721675532,0.763410641371777,0.5723258840476043,0.7867754445356296,0.7306142358781026,0.8555413805784771,0.848413853817682,0.8442165531234493,0.969237659175699,0.20000529972751419,0.9635528922464021,0.24260419637496267,0.27823621194729825,0.3569351312162605,0.0010092209071545135,0.5431872016770437,0.6505658985618206,0.37944464452252336,0.7016738552038673,0.4384459006948067,0.9604750083899534,0.9354839883915785,0.31605243766296,0.4510829432820605
