Item,Loading
Bold,0.9983802505411103
Energetic,0.9878244126237562
Extraverted,0.9985759085144719
Talkative,0.991513434580078
Bashful,0.9795060835850494
Quiet,0.9840892870652003
Shy,0.9816089275079888
Withdrawn,0.9615203653403843
Cooperative,0.9979841873035377
Kind,0.9975448772783719
Sympathetic,0.998411558891684
Warm,0.7642995572767349
Cold,0.8199120944119298
Harsh,0.8098278157605505
Rude,0.767199777252652
Unsympathetic,0.7663584939705307
Efficient,0.9675629923926501
Organized,0.9757896790304036
Practical,0.705283980074885
Systematic,0.9691855231768662
Careless,0.9783731271722753
Disorganized,0.9842370052665026
Inefficient,0.9739696222734843
Sloppy,0.968381037806159
Envious,0.9219986655976219
Fretful,0.9930306920576437
Jealous,0.9242917416196006
Moody,0.995304646149223
Temperamental,0.9906668539718936
Touchy,0.9828260711601745
Relaxed,0.9443082458393502
Unenvious,0.8961904516938541
Complex,0.9125898593666838
Creative,0.9808305040316522
Deep,0.9465222127185743
Imaginative,0.9890717999513366
Intellectual,0.9515733417932605
Philosophical,0.942167684640356
Uncreative,0.8461860892794095
Unintellectual,0.7939296610788341
