Item,Loading
Bold,0.9545291284709613
Energetic,0.9882531987596467
Extraverted,0.9899004684018414
Talkative,0.9858589371836193
Bashful,0.9265742467987794
Quiet,0.9279309937950452
Shy,0.9209947659574116
Withdrawn,0.9246885068927414
Cooperative,0.8500627196114208
Kind,0.960941385209244
Sympathetic,0.9579351324619443
Warm,0.8814039038847816
Cold,0.08188619840493436
Harsh,0.21970465045479637
Rude,0.3445044785278813
Unsympathetic,0.35450850036685005
Efficient,0.9041699303338565
Organized,0.9084782571947173
Practical,0.8662763154288102
Systematic,0.9384733511544269
Careless,0.25662825696708036
Disorganized,0.6771475234902188
Inefficient,0.6771581454553945
Sloppy,0.6318862550151547
Envious,0.9384746454972186
Fretful,0.1985921852588914
Jealous,0.9648100094938887
Moody,0.2268530075320959
Temperamental,0.24605017876855456
Touchy,0.3522565272913628
Relaxed,0.17369638149404515
Unenvious,0.258238098430451
Complex,0.7042555000705947
Creative,0.931341318234748
Deep,0.708298805170715
Imaginative,0.9512920318774817
Intellectual,0.9107763199390572
Philosophical,0.7896315709224496
Uncreative,0.37312730038098535
Unintellectual,0.43660005567046056
