Item,Loading
Bold,0.9363671891533399
Energetic,0.9873332218961403
Extraverted,0.990970662434957
Talkative,0.9865197112551694
Bashful,0.8827906707794716
Quiet,0.9008185263084727
Shy,0.8516646401034355
Withdrawn,0.8543684131506339
Cooperative,0.7880863610276051
Kind,1.020243711264114
Sympathetic,0.897482930382062
Warm,0.7973499248758505
Cold,0.03148097630500774
Harsh,0.27380918466297005
Rude,0.2741200379996801
Unsympathetic,0.14735113416072257
Efficient,0.9067841607698753
Organized,0.8805554828381202
Practical,0.8692678055771494
Systematic,0.9479558849008237
Careless,0.5604863525484687
Disorganized,0.8128237738850924
Inefficient,0.8171401833080658
Sloppy,0.7818737162193693
Envious,0.3137690494427023
Fretful,0.7855919133965656
Jealous,0.36858394264692146
Moody,0.9685025422677818
Temperamental,0.9413729827638212
Touchy,0.7377071005102014
Relaxed,0.43834014361466583
Unenvious,0.28373610981198766
Complex,0.7421058318591717
Creative,0.931720385946684
Deep,0.7258947358695592
Imaginative,0.944128021130107
Intellectual,0.8919638676492443
Philosophical,0.7953870146749621
Uncreative,0.32322208453055423
Unintellectual,0.48002756830886595
