Item,Loading
Bold,0.9924558579932734
Energetic,0.9843215607170968
Extraverted,0.9964576112393517
Talkative,0.983319817635081
Bashful,0.978224215408764
Quiet,0.9862558511405023
Shy,0.9845473221185592
Withdrawn,0.9811492099299416
Cooperative,0.9411861725971851
Kind,0.9842492137841251
Sympathetic,0.9684463893257158
Warm,0.9305848883439098
Cold,0.962146127512607
Harsh,0.9265283102679814
Rude,0.8355759490942372
Unsympathetic,0.8584546235733852
Efficient,0.9869875046616664
Organized,0.9858856316961545
Practical,0.8541053715463134
Systematic,0.9685363344306843
Careless,0.9941853118023524
Disorganized,0.9944527983661
Inefficient,0.9809904572675764
Sloppy,0.9673555930833617
Envious,0.7159784597460724
Fretful,0.9928809063593014
Jealous,0.6963035559566342
Moody,0.989703051470457
Temperamental,0.9862002619669634
Touchy,0.9861544714068313
Relaxed,0.9497309648834135
Unenvious,0.5874949029782669
Complex,0.8849569008780258
Creative,0.9765356943796653
Deep,0.9126130927032859
Imaginative,0.9775801693649107
Intellectual,0.9244086003320677
Philosophical,0.8915997233951483
Uncreative,0.9102017695762662
Unintellectual,0.7725094475032473
