Item,Loading
Bold,0.9851513930115234
Energetic,0.9897737170085302
Extraverted,0.9979071061363349
Talkative,0.9980361558206167
Bashful,0.9569231556477199
Quiet,0.9855210242765485
Shy,0.9718410375074514
Withdrawn,0.9715432791136994
Cooperative,0.9480040353901692
Kind,0.983290842199249
Sympathetic,0.9782617274442531
Warm,0.8901033433824671
Cold,0.8739770879617667
Harsh,0.8532180907281548
Rude,0.8797714692928352
Unsympathetic,0.8781554454369643
Efficient,0.9621393870550565
Organized,0.9660763617349722
Practical,0.7159782082641667
Systematic,0.9535817077762911
Careless,0.9845976908440746
Disorganized,0.9947029259645879
Inefficient,0.9907070019484904
Sloppy,0.9946144803719673
Envious,0.9835509311192399
Fretful,0.9946749219068122
Jealous,0.9826815838909466
Moody,0.9932771699714364
Temperamental,0.9945252552433744
Touchy,0.9954904771393246
Relaxed,0.9795108201111336
Unenvious,0.9760418247376044
Complex,0.9350790267309378
Creative,0.9757402225042466
Deep,0.9259975606914903
Imaginative,0.9866758117694318
Intellectual,0.9480786551456839
Philosophical,0.9470133703583832
Uncreative,0.9278629317926383
Unintellectual,0.9042654805651363
