Item,Loading
Bold,0.9832279940921723
Energetic,0.9905158233131335
Extraverted,0.9982311808922745
Talkative,0.9985152777915987
Bashful,0.9542187585725167
Quiet,0.9821281732337284
Shy,0.9615590466788172
Withdrawn,0.9693396148217351
Cooperative,0.9373170971765995
Kind,0.9764642377145617
Sympathetic,0.9731777372721793
Warm,0.901688138305061
Cold,0.8582060018595689
Harsh,0.8522653867619486
Rude,0.871885125590986
Unsympathetic,0.869455825316419
Efficient,0.9658499810109268
Organized,0.9714657361376349
Practical,0.7450821873539465
Systematic,0.962205444987479
Careless,0.9901996891521844
Disorganized,0.9944921950866448
Inefficient,0.9913603736929675
Sloppy,0.9939617318047295
Envious,0.9838485182880059
Fretful,0.9940986093723526
Jealous,0.9852139104331372
Moody,0.991680831496568
Temperamental,0.9951861888264328
Touchy,0.9954270470167803
Relaxed,0.9784993948225444
Unenvious,0.9743852866370973
Complex,0.9479506997906648
Creative,0.9728581376551505
Deep,0.9303612668538439
Imaginative,0.981618581529736
Intellectual,0.9472879843000164
Philosophical,0.9552738491810941
Uncreative,0.935479402818885
Unintellectual,0.9253830858693828
