Item,Loading
Bold,0.9943427732819661
Energetic,0.9960500780924979
Extraverted,0.9990476522757071
Talkative,0.9961752643623544
Bashful,0.9903434031446514
Quiet,0.9940080177685764
Shy,0.9890783883692754
Withdrawn,0.9844267903846656
Cooperative,0.7664091393135508
Kind,0.7969255331379627
Sympathetic,0.7913873431626026
Warm,0.6641899125928459
Cold,0.9685231532424221
Harsh,0.9850296069806693
Rude,0.9519670774055528
Unsympathetic,0.9615133335532124
Efficient,0.9580309577929796
Organized,0.9528897134033186
Practical,0.68528701977472
Systematic,0.9359077986649674
Careless,0.9582579259808618
Disorganized,0.9986752141208795
Inefficient,0.9935841793957604
Sloppy,0.9937773851305836
Envious,0.7052680815823562
Fretful,0.9835531319632472
Jealous,0.7373378807362515
Moody,0.985331969332481
Temperamental,0.9893875076089155
Touchy,0.9547453088645519
Relaxed,0.949241669645
Unenvious,0.682485727239282
Complex,0.8766777386487142
Creative,0.9751774206864235
Deep,0.7197629818630598
Imaginative,0.9742178002255943
Intellectual,0.9344872839333116
Philosophical,0.9501210191387608
Uncreative,0.7420708546097602
Unintellectual,0.7918255609975119
