Item,Loading
Bold,0.9973348874719363
Energetic,0.9971395510143224
Extraverted,0.9990661151401959
Talkative,0.9971035137970699
Bashful,0.9933608875622454
Quiet,0.9927898585711682
Shy,0.987423473809497
Withdrawn,0.982969142450342
Cooperative,0.9292972237711377
Kind,0.9974617898710912
Sympathetic,0.9966956394991751
Warm,0.7636344278819102
Cold,0.617038309493353
Harsh,0.7172555209560719
Rude,0.610986241114826
Unsympathetic,0.6531941206805646
Efficient,0.9586789131921368
Organized,0.9563766462960427
Practical,0.65973576875062645
Systematic,0.9381548188457296
Careless,0.9600183196530857
Disorganized,0.9991723174929776
Inefficient,0.9902865727323243
Sloppy,0.9917088780626058
Envious,0.636545144403194
Fretful,0.9877709344779585
Jealous,0.6649823951835906
Moody,0.9865926442119011
Temperamental,0.9901375907461334
Touchy,0.9526899684549215
Relaxed,0.9376938950082264
Unenvious,0.6591411889983873
Complex,0.9341276971602037
Creative,0.9460744498661454
Deep,0.5913790458865503
Imaginative,0.9552511105482341
Intellectual,0.9585741770190956
Philosophical,0.9641362322697543
Uncreative,0.7364664572889773
Unintellectual,0.7929907235641416
