Item,Loading
Bold,0.7571534295592335
Energetic,0.6861651858527087
Extraverted,0.8330948734519131
Talkative,0.8948985559753053
Bashful,0.8925423347465686
Quiet,0.9161821109716867
Shy,0.9491049815977871
Withdrawn,0.9663980556380573
Cooperative,0.8055981478688351
Kind,0.9106764140084138
Sympathetic,0.7210487545858206
Warm,0.8864120603763117
Cold,0.8622576131386673
Harsh,0.8192766099554945
Rude,0.609491396099783
Unsympathetic,0.7608112829631166
Efficient,0.6093753497518967
Organized,0.958710280840421
Practical,0.5946459520126818
Systematic,0.8846429083366213
Careless,0.5180441995723507
Disorganized,0.9275964633551238
Inefficient,0.6410729274140735
Sloppy,0.8749425202333766
Envious,0.9804061216814407
Fretful,0.49928952401424254
Jealous,0.9857646357076886
Moody,0.5093532232271268
Temperamental,0.4990110019531657
Touchy,0.6454229958414134
Relaxed,0.44723966772820073
Unenvious,0.9260827699291159
Complex,0.5179060217002788
Creative,0.2848070134012741
Deep,0.5317853973467702
Imaginative,0.32111398545852704
Intellectual,0.9973616181048797
Philosophical,0.9959932160610789
Uncreative,0.2964797328196756
Unintellectual,0.9518518573290592
