Item,Loading
Bold,0.7800898596123819
Energetic,0.5686940372154516
Extraverted,0.8971632516972726
Talkative,0.8770735982718718
Bashful,0.9106840753222591
Quiet,0.8367418328260934
Shy,0.8926540471178342
Withdrawn,0.9592923080034309
Cooperative,0.8377153600330682
Kind,0.9425928890926946
Sympathetic,0.8173195663386775
Warm,0.9463249065760845
Cold,0.8544432639857091
Harsh,0.6570252136278282
Rude,0.4850414542731708
Unsympathetic,0.843950438588913
Efficient,0.5424023066211235
Organized,0.9592500999961266
Practical,0.593336404647913
Systematic,0.9128449388288411
Careless,0.46189102499871926
Disorganized,0.9225152807605774
Inefficient,0.6115479242486535
Sloppy,0.807123304896629
Envious,0.9923910660124872
Fretful,0.26838276924134685
Jealous,0.9838120113703066
Moody,0.25769868058430234
Temperamental,0.28889639964573444
Touchy,0.4125061694550895
Relaxed,0.20360220677956595
Unenvious,0.881766253394006
Complex,0.6442072073724506
Creative,0.2932314092473512
Deep,0.6666804557327014
Imaginative,0.26460080492181043
Intellectual,0.9993665247150096
Philosophical,0.9974292586604339
Uncreative,0.31718388573767103
Unintellectual,0.9394388763390369
