Item,Loading
Bold,0.7183551607731935
Energetic,0.6825005099653534
Extraverted,0.7533212790482686
Talkative,0.751964906517559
Bashful,0.8792614297946645
Quiet,0.9162051685288467
Shy,0.9800807310181785
Withdrawn,0.9771748767269185
Cooperative,0.8429335877847824
Kind,0.9474669140455736
Sympathetic,0.9234439596605977
Warm,0.9554837542506266
Cold,0.32742870945817937
Harsh,0.3988246603979479
Rude,0.5108636530475087
Unsympathetic,0.5915144509184654
Efficient,0.7554206721675532
Organized,0.763410641371777
Practical,0.5723258840476043
Systematic,0.7867754445356296
Careless,0.7306142358781026
Disorganized,0.8555413805784771
Inefficient,0.848413853817682
Sloppy,0.8442165531234493
Envious,0.969237659175699
Fretful,0.20000529972751419
Jealous,0.9635528922464021
Moody,0.24260419637496267
Temperamental,0.27823621194729825
Touchy,0.3569351312162605
Relaxed,0.0010092209071545135
Unenvious,0.5431872016770437
Complex,0.6505658985618206
Creative,0.37944464452252336
Deep,0.7016738552038673
Imaginative,0.4384459006948067
Intellectual,0.9604750083899534
Philosophical,0.9354839883915785
Uncreative,0.31605243766296
Unintellectual,0.4510829432820605
