Item,Loading
Bold,0.7924751527756138
Energetic,0.7497240146676218
Extraverted,0.7853082836921975
Talkative,0.7808482640300964
Bashful,0.9219148380307398
Quiet,0.923771923656918
Shy,0.984631154778198
Withdrawn,0.9728975937056381
Cooperative,0.767602319572307
Kind,0.930721845771282
Sympathetic,0.921378432217034
Warm,0.9484779682087513
Cold,0.089547906690338
Harsh,0.21502218198273523
Rude,0.244961618867254
Unsympathetic,0.3843258739134037
Efficient,0.5873279862803473
Organized,0.7309658306701035
Practical,0.35319087575257496
Systematic,0.7248597650103022
Careless,0.6316359450657832
Disorganized,0.8947823647923848
Inefficient,0.8872087623169667
Sloppy,0.7559187050109059
Envious,0.9720644986449472
Fretful,-0.1397787679771655
Jealous,0.9641185913950413
Moody,-0.010450250999531419
Temperamental,-0.015613446716738361
Touchy,0.23222975056160636
Relaxed,-0.1406126348682139
Unenvious,0.5575289379407932
Complex,0.7529583383144861
Creative,0.5771847529488868
Deep,0.7776801269386824
Imaginative,0.646084228058758
Intellectual,0.9613226957962206
Philosophical,0.9274977283487407
Uncreative,0.1593549669556799
Unintellectual,0.2139187692767735
