Item,Loading
Bold,0.5983592693364572
Energetic,0.5560338153014158
Extraverted,0.6416655438258335
Talkative,0.6986502946007678
Bashful,0.9198024426602908
Quiet,0.8378977596759196
Shy,0.9631279752772877
Withdrawn,0.9579713721173287
Cooperative,0.7673583185626387
Kind,0.8573798319184956
Sympathetic,0.7638006221787478
Warm,0.8579330163158198
Cold,0.7547117272462358
Harsh,0.677188560260954
Rude,0.6010409821434872
Unsympathetic,0.7911608392973289
Efficient,0.6153426772495191
Organized,0.9144590785087338
Practical,0.6423361161614983
Systematic,0.8046935754929196
Careless,0.35405003706115773
Disorganized,0.8312474802608715
Inefficient,0.6035526726868194
Sloppy,0.7693803695608725
Envious,0.9324690856308797
Fretful,0.2796423471779294
Jealous,0.9124273729502218
Moody,0.3421258193172912
Temperamental,0.32209048269514695
Touchy,0.3713333477042966
Relaxed,0.3292005610098738
Unenvious,0.8747401310929209
Complex,0.43592745484772116
Creative,0.29030259255231866
Deep,0.44419319094654974
Imaginative,0.31474642107742185
Intellectual,0.9952193606203322
Philosophical,0.9905030236418759
Uncreative,0.2566238764502237
Unintellectual,0.8867278067916068
