Item,Loading
Bold,0.7070043239836489
Energetic,0.5156091863157378
Extraverted,0.8109984953337112
Talkative,0.8065636385420978
Bashful,0.9123178430419415
Quiet,0.834733847021571
Shy,0.8890920782716685
Withdrawn,0.963785885418823
Cooperative,0.6644173623695739
Kind,0.9191859510238314
Sympathetic,0.8591738652818749
Warm,0.8803616564146786
Cold,0.8086903848430498
Harsh,0.5098626742553405
Rude,0.44494895595187495
Unsympathetic,0.8722849117896826
Efficient,0.5312699088309728
Organized,0.9235792668923875
Practical,0.7317567299011319
Systematic,0.902572601894236
Careless,0.18240114891765644
Disorganized,0.7641085466876802
Inefficient,0.5647331777444251
Sloppy,0.7408118718941888
Envious,0.9292621533524307
Fretful,0.1837021284083568
Jealous,0.916045890529942
Moody,0.16371540162902015
Temperamental,0.1918401165263755
Touchy,0.2685624793383286
Relaxed,0.12071277013272266
Unenvious,0.8784745835925138
Complex,0.604644392727256
Creative,0.20850673146439225
Deep,0.610832181013405
Imaginative,0.1844908513241939
Intellectual,0.9903839473734058
Philosophical,0.9911725783975507
Uncreative,0.19309339541154683
Unintellectual,0.8676893073674926
