Item,Loading
Bold,0.711704534244731
Energetic,0.6848071826199581
Extraverted,0.8824644726805565
Talkative,0.85582266302756
Bashful,0.9436122017443268
Quiet,0.9122795939803167
Shy,0.9429167371149961
Withdrawn,0.9682722058934695
Cooperative,0.7195222911777991
Kind,0.8912143564945558
Sympathetic,0.8181794148932126
Warm,0.9108848360992896
Cold,0.9283222001299531
Harsh,0.7972281080361269
Rude,0.6660494920108264
Unsympathetic,0.9111294713295888
Efficient,0.6520706087266016
Organized,0.9218923494549129
Practical,0.5672565098918982
Systematic,0.806676036628572
Careless,0.651867701429555
Disorganized,0.9363099810285245
Inefficient,0.7854042043059686
Sloppy,0.9252605179704662
Envious,0.9439371126648979
Fretful,0.6448143916529594
Jealous,0.9426181212017434
Moody,0.6501119520881367
Temperamental,0.6928571652750644
Touchy,0.7887770005608649
Relaxed,0.6059569782092902
Unenvious,0.9420698571326798
Complex,0.5418412223790888
Creative,0.34763976697296417
Deep,0.5738363259974684
Imaginative,0.33812215111037247
Intellectual,0.9871589514878303
Philosophical,0.9797206381929469
Uncreative,0.3883002437337631
Unintellectual,0.9380722310246153
