Item,Loading
Bold,0.7363474924485259
Energetic,0.6066779649146892
Extraverted,0.92805120143295206
Talkative,0.8739211898315343
Bashful,0.8808139305306257
Quiet,0.9115107341662078
Shy,0.8947304360105032
Withdrawn,0.9716218738117934
Cooperative,0.7604324507416245
Kind,0.9453277167001876
Sympathetic,0.8821181510196203
Warm,0.9298653682840182
Cold,0.8848033478066243
Harsh,0.7225971275538361
Rude,0.5678374032397593
Unsympathetic,0.9115833536383356
Efficient,0.6441381927470293
Organized,0.9494926060741218
Practical,0.5199877038313319
Systematic,0.9058778194332076
Careless,0.5996081036415835
Disorganized,0.9468608587342329
Inefficient,0.7353134398669228
Sloppy,0.8978481028722819
Envious,0.9399332159036091
Fretful,0.49365290033118947
Jealous,0.9302322576326257
Moody,0.5145869211607683
Temperamental,0.5837543299912189
Touchy,0.678209027374147
Relaxed,0.4425094131015895
Unenvious,0.922115970995526
Complex,0.6992227484491689
Creative,0.35828939967981843
Deep,0.7018205261102191
Imaginative,0.2325340401391118
Intellectual,0.9898583397114971
Philosophical,0.9799996871128577
Uncreative,0.36668759615189994
Unintellectual,0.9322824784850984
