Item,Loading
Bold,0.748395938856654
Energetic,0.696437505394757
Extraverted,0.8980006475405338
Talkative,0.8590669544954244
Bashful,0.9468725496008283
Quiet,0.9300995594713375
Shy,0.9710428544940064
Withdrawn,0.9892599213188757
Cooperative,0.8001249557628525
Kind,0.938512943856419
Sympathetic,0.8083139290231545
Warm,0.9216004454722962
Cold,0.8636375224163986
Harsh,0.8065770061026135
Rude,0.6317456929794945
Unsympathetic,0.8699357017111462
Efficient,0.647719281753654
Organized,0.9642583969710481
Practical,0.8061247687777614
Systematic,0.9145738529376377
Careless,0.5770656199570185
Disorganized,0.9537300229667878
Inefficient,0.791839549498046
Sloppy,0.8823457255806354
Envious,0.9505256465394942
Fretful,0.5836617895071619
Jealous,0.9705659629095205
Moody,0.4875912933526329
Temperamental,0.512683451607816
Touchy,0.6950687567324854
Relaxed,0.4598880025169977
Unenvious,0.9090215322483111
Complex,0.5740550262913918
Creative,0.43329631553426445
Deep,0.6650195830791142
Imaginative,0.41748863832402927
Intellectual,0.9930185955034545
Philosophical,0.952048212460503
Uncreative,0.42706429503466375
Unintellectual,0.89669257719864
