Item,Loading
Bold,0.5684430940476397
Energetic,0.5728799310261288
Extraverted,0.7080556618716645
Talkative,0.6657739023568852
Bashful,0.967850908882797
Quiet,0.8435036461040288
Shy,0.9812907688932434
Withdrawn,0.940406291194956
Cooperative,0.8551304974013424
Kind,0.8888497239367448
Sympathetic,0.8998360331874791
Warm,0.9523512750430148
Cold,0.7266845124683878
Harsh,0.6905011274941361
Rude,0.5437059779834919
Unsympathetic,0.7856655694792922
Efficient,0.6089864800967107
Organized,0.8888977808014215
Practical,0.5984414960117379
Systematic,0.7946351402435793
Careless,0.6152018176414763
Disorganized,0.7999608310348237
Inefficient,0.7242835714654766
Sloppy,0.7580711796416069
Envious,0.9887324765383451
Fretful,0.45780092806163136
Jealous,0.9931327406629329
Moody,0.4934999224949116
Temperamental,0.48804797286879714
Touchy,0.734952632881386
Relaxed,0.2867845917191048
Unenvious,0.8298474164393917
Complex,0.6758469210577446
Creative,0.5974223837376724
Deep,0.6801481277388146
Imaginative,0.6240237801209002
Intellectual,0.9973156504236047
Philosophical,0.9558696328515383
Uncreative,0.461164175375374
Unintellectual,0.8016950498255702
