Item,Loading
Bold,0.6101373295315407
Energetic,0.4315057000523366
Extraverted,0.7428317079048689
Talkative,0.6588711370234934
Bashful,0.956165952180985
Quiet,0.8288268425337884
Shy,0.9593553635279829
Withdrawn,0.9637696002146746
Cooperative,0.8799287713781607
Kind,0.9291013042165158
Sympathetic,0.8457370095249778
Warm,0.9316329959150756
Cold,0.6787242570571876
Harsh,0.5562677442893809
Rude,0.4645991149432466
Unsympathetic,0.7716750701445738
Efficient,0.5164905099511974
Organized,0.9287579133937153
Practical,0.5079182083102799
Systematic,0.8674291066060201
Careless,0.6271707512795557
Disorganized,0.816808433427381
Inefficient,0.6338536386885638
Sloppy,0.7866757895424947
Envious,0.969241501574133
Fretful,0.20177241458977582
Jealous,0.9857630279926775
Moody,0.2548579944133653
Temperamental,0.22283787485753387
Touchy,0.5322545284712655
Relaxed,0.1080551080723511
Unenvious,0.7506882692333195
Complex,0.682035510946684
Creative,0.3411107718708098
Deep,0.6803900565206791
Imaginative,0.42392566833762996
Intellectual,0.9938882680623334
Philosophical,0.9154852562549913
Uncreative,0.26302000781829415
Unintellectual,0.7364301026111775
