Item,Loading
Bold,0.7432407026123771
Energetic,0.7294342182300633
Extraverted,0.8198577567460876
Talkative,0.7869723581846818
Bashful,0.19540459530498777
Quiet,0.3159751763529186
Shy,0.31341331875232836
Withdrawn,0.2992958362785612
Cooperative,0.7914123106220948
Kind,0.9784522525354017
Sympathetic,0.9177694462149241
Warm,0.95048205797830565
Cold,0.11056240968052594
Harsh,0.07623018329697105
Rude,0.05960757348804059
Unsympathetic,0.12232602046966065
Efficient,0.3184878255775715
Organized,0.3179187519245374
Practical,0.158835392821477
Systematic,0.37772536445088467
Careless,0.818343670457582
Disorganized,0.7894010242382933
Inefficient,0.9098381973537959
Sloppy,0.7848699269106977
Envious,0.9971546415935029
Fretful,0.25956999707941014
Jealous,0.9960872554959552
Moody,0.34713970886786444
Temperamental,0.3637560717294864
Touchy,0.5710635688090651
Relaxed,-0.08571026872553034
Unenvious,0.3251166555770055
Complex,0.7933945594442926
Creative,0.8290003670492686
Deep,0.8791479001395878
Imaginative,0.8467471779900398
Intellectual,0.7230897529584597
Philosophical,0.6658585261393443
Uncreative,0.09626861481107077
Unintellectual,0.04497629047667601
