Item,Loading
Bold,0.5776484614633256
Energetic,0.5229315385244642
Extraverted,0.5958625417598566
Talkative,0.5748969992712384
Bashful,0.9210634866073896
Quiet,0.8162406450943338
Shy,0.9429303148691444
Withdrawn,0.9507608088519055
Cooperative,0.777090784407834
Kind,0.9321013664134556
Sympathetic,0.8812857392509358
Warm,0.9267469536964216
Cold,0.7200752258293972
Harsh,0.5054401679214129
Rude,0.49295700638628726
Unsympathetic,0.781014200091922
Efficient,0.49231359846679823
Organized,0.9320008329686377
Practical,0.47260815950430773
Systematic,0.8995839965263291
Careless,0.5083335362427018
Disorganized,0.6142884125704637
Inefficient,0.4956360766787812
Sloppy,0.6435897027238203
Envious,0.8619867069324686
Fretful,0.4164135378156355
Jealous,0.8520751180977404
Moody,0.48168947399211154
Temperamental,0.43120912540852674
Touchy,0.5141586023782094
Relaxed,0.41704559240661004
Unenvious,0.8158221072674957
Complex,0.21401877897187624
Creative,0.37699131149911264
Deep,0.2167108108130148
Imaginative,0.41436817862158226
Intellectual,0.9746747628937474
Philosophical,0.9611459610799008
Uncreative,0.3166175499138458
Unintellectual,0.5234085774345261
