Item,Loading
Bold,0.5409894000656802
Energetic,0.38235164941305133
Extraverted,0.6398452686173944
Talkative,0.651570420544045
Bashful,0.9149538181051838
Quiet,0.708733093765532
Shy,0.9652031336179895
Withdrawn,0.9586203793543195
Cooperative,0.7348973995837929
Kind,0.8652002076188663
Sympathetic,0.7987985783874321
Warm,0.8453095563344641
Cold,0.7890848042653269
Harsh,0.6458891942442462
Rude,0.5909084653204932
Unsympathetic,0.8100955350322948
Efficient,0.5876711107737778
Organized,0.9086712949479819
Practical,0.6230228133086713
Systematic,0.8943207346359467
Careless,0.6281455077370909
Disorganized,0.6669258051348487
Inefficient,0.5268901489232495
Sloppy,0.6887510398276688
Envious,0.9181194639852267
Fretful,0.22009689992096482
Jealous,0.9425969602987129
Moody,0.20870604100891108
Temperamental,0.2138496471638271
Touchy,0.38696743039472786
Relaxed,0.14236985779096567
Unenvious,0.7482362584356191
Complex,0.9983953224975372
Creative,0.026886846747810857
Deep,0.9960541225366724
Imaginative,0.1155833467736301
Intellectual,0.3190492019472724
Philosophical,0.30578116339599204
Uncreative,0.16049209187285024
Unintellectual,0.34654084367064125
