Item,Loading
Bold,0.6740044380117319
Energetic,0.6474825204579063
Extraverted,0.8394621281949495
Talkative,0.7783532140416649
Bashful,0.9587315216400802
Quiet,0.9347082732122243
Shy,0.9557351910567781
Withdrawn,0.9645606139551695
Cooperative,0.7970249344253107
Kind,0.8693482821414817
Sympathetic,0.86702884702206
Warm,0.9299960711826613
Cold,0.8430527078094043
Harsh,0.7336818891947653
Rude,0.6374507383523982
Unsympathetic,0.8992795678241314
Efficient,0.6359637520632756
Organized,0.9178641703043847
Practical,0.558826242732787
Systematic,0.8865697071233523
Careless,0.7099567017497791
Disorganized,0.8555270477861947
Inefficient,0.7974153902065484
Sloppy,0.8065280419160171
Envious,0.6872709277821419
Fretful,0.6905439895320131
Jealous,0.7106257653376585
Moody,0.8445540286776384
Temperamental,0.9077444724903608
Touchy,0.9520227539192392
Relaxed,0.6068333318159562
Unenvious,0.6838932826423936
Complex,0.7211408538641579
Creative,0.6036017887439878
Deep,0.738328710891247
Imaginative,0.6195402423358012
Intellectual,0.9553153010780837
Philosophical,0.9272139189283233
Uncreative,0.5656845674216668
Unintellectual,0.8467447434644564
