Item,Loading
Bold,0.6577665262692726
Energetic,0.5201256256406916
Extraverted,0.8220737282015262
Talkative,0.7969460942671918
Bashful,0.9478290558675139
Quiet,0.8954615000190096
Shy,0.9433848474557565
Withdrawn,0.9533673912238236
Cooperative,0.858564716232622
Kind,0.9024765826447596
Sympathetic,0.9151516151301803
Warm,0.929974906884923
Cold,0.8384848124659022
Harsh,0.7120388346903312
Rude,0.6081343296762858
Unsympathetic,0.8607071048076175
Efficient,0.6103686241958263
Organized,0.9270665210412565
Practical,0.5862178598537933
Systematic,0.9070339592555835
Careless,0.7126032074654712
Disorganized,0.8635456977903107
Inefficient,0.8254143529040899
Sloppy,0.8241946657769229
Envious,0.9201024014772936
Fretful,0.3639072148954954
Jealous,0.904017489516425
Moody,0.49509282996873627
Temperamental,0.5030230079457535
Touchy,0.5535467206666616
Relaxed,0.336842366266588
Unenvious,0.8213700085732176
Complex,0.8089459251471024
Creative,0.5049593763788854
Deep,0.8201309533245678
Imaginative,0.4364041925462324
Intellectual,0.9715165285335218
Philosophical,0.9298600162178173
Uncreative,0.393744457447812
Unintellectual,0.8258250612331683
