Item,Loading
Bold,0.6334917578608066
Energetic,0.6503284543356148
Extraverted,0.7955432527574258
Talkative,0.74780524344395
Bashful,0.920511812814482
Quiet,0.9226790936894398
Shy,0.9258068919791103
Withdrawn,0.9799990069559855
Cooperative,0.8236435864513952
Kind,0.9255441024760388
Sympathetic,0.8940582057693954
Warm,0.9507879699600859
Cold,0.8161367100693034
Harsh,0.8008509679552145
Rude,0.699135650461515
Unsympathetic,0.8682541277495194
Efficient,0.6206311344489682
Organized,0.8832690651854628
Practical,0.6920903707102601
Systematic,0.7982490409829698
Careless,0.7498267048277326
Disorganized,0.9040305383181949
Inefficient,0.8933538718768698
Sloppy,0.8752394392449309
Envious,0.7448127545296183
Fretful,0.8213424664471424
Jealous,0.7957102123699361
Moody,0.8440376638908071
Temperamental,0.849624019201345
Touchy,0.981111152413998
Relaxed,0.5331999952483856
Unenvious,0.705419844459142
Complex,0.7622048586225086
Creative,0.7981950357408825
Deep,0.8101148449445733
Imaginative,0.798353430970606
Intellectual,0.9468893287518195
Philosophical,0.9052524656553026
Uncreative,0.7270718568757739
Unintellectual,0.7958696874606599
