Item,Loading
Bold,0.6810176969102327
Energetic,0.5054553215741096
Extraverted,0.7649488853321903
Talkative,0.7540224611239524
Bashful,0.9495537390148546
Quiet,0.8904994336587512
Shy,0.9668814968563932
Withdrawn,0.9894694653354247
Cooperative,0.8533559674014576
Kind,0.9494393702803688
Sympathetic,0.9041394243335706
Warm,0.9587832951958771
Cold,0.8221705288182465
Harsh,0.7976759952480726
Rude,0.6944904652754522
Unsympathetic,0.8848228307315513
Efficient,0.6474934602475183
Organized,0.885309359177599
Practical,0.6868256594571108
Systematic,0.8517496670458263
Careless,0.8266065124504693
Disorganized,0.9097999786019431
Inefficient,0.8593975145839889
Sloppy,0.8967113968465951
Envious,0.969461416597565
Fretful,0.5104279557068325
Jealous,0.9796448884349119
Moody,0.3863215366665005
Temperamental,0.43110502454610067
Touchy,0.6950605599708245
Relaxed,0.2567895540764428
Unenvious,0.8560434549936558
Complex,0.912683817342929
Creative,0.6421901826570908
Deep,0.9229567635296153
Imaginative,0.6771537620250427
Intellectual,0.9760253792719663
Philosophical,0.9395000240794136
Uncreative,0.5351746710311228
Unintellectual,0.7969041492476321
