Item,Loading
Bold,0.9975863746730445
Energetic,0.9811894168928875
Extraverted,0.9979235938830688
Talkative,0.9902528856942968
Bashful,0.9622071193666959
Quiet,0.9689489064079979
Shy,0.9703362583476562
Withdrawn,0.9468138963441193
Cooperative,0.985119935067426
Kind,0.9949816220495741
Sympathetic,0.9942061713682439
Warm,0.893059618170347
Cold,0.7953842969001941
Harsh,0.7864207817494329
Rude,0.7641645235900765
Unsympathetic,0.7640754338272001
Efficient,0.9859041394959168
Organized,0.9935809687005934
Practical,0.8441059419353205
Systematic,0.9884307280214246
Careless,0.9471411149494079
Disorganized,0.9412387195955396
Inefficient,0.9530834427989368
Sloppy,0.9382681447735586
Envious,0.9675961383142162
Fretful,0.9954579868273629
Jealous,0.9601617930460042
Moody,0.9967598002145475
Temperamental,0.9952722824036273
Touchy,0.9902334974896152
Relaxed,0.8530714108436832
Unenvious,0.9194994131776045
Complex,0.9488035041385579
Creative,0.8716296510540279
Deep,0.9823275239634992
Imaginative,0.913362636725574
Intellectual,0.8808049830486477
Philosophical,0.9835723600169893
Uncreative,0.6854538996969585
Unintellectual,0.7047412852439489
