Item,Loading
Bold,0.9519237507541064
Energetic,0.988983022989378
Extraverted,0.9927466907574808
Talkative,0.9879688400971078
Bashful,0.9249500461365553
Quiet,0.9331281301877911
Shy,0.9180926363545524
Withdrawn,0.9217011736224957
Cooperative,0.8577717296513728
Kind,0.961275022886512
Sympathetic,0.9428336649743596
Warm,0.9014027601094684
Cold,0.09043102286048633
Harsh,0.23148090873904853
Rude,0.4026497583344885
Unsympathetic,0.42403732129878635
Efficient,0.9075914956431294
Organized,0.9081201892360559
Practical,0.8660527822841209
Systematic,0.9487014734346096
Careless,0.43172975536074665
Disorganized,0.7242373867856526
Inefficient,0.7418211753636212
Sloppy,0.7130673732769636
Envious,0.94300868624865
Fretful,0.23716672401129016
Jealous,0.9459587548836474
Moody,0.2153605825432839
Temperamental,0.26595820374671786
Touchy,0.27507151789608236
Relaxed,0.11905737287560116
Unenvious,0.27468338005429593
Complex,0.645134886021496
Creative,0.9426625762265577
Deep,0.6299455132811511
Imaginative,0.9408069245335419
Intellectual,0.8845257191238156
Philosophical,0.7373861000405157
Uncreative,0.31594743415130083
Unintellectual,0.39395900534729844
