Item,Loading
Bold,0.7933353349220845
Energetic,0.9258556557744717
Extraverted,0.990935497588615
Talkative,0.9868363009178376
Bashful,0.5179100251157615
Quiet,0.33880476937163917
Shy,0.5312561326397183
Withdrawn,0.5431804355086636
Cooperative,0.7752306086043057
Kind,0.965572373887085
Sympathetic,0.9343120228810924
Warm,0.8716474345941565
Cold,-0.008413062581309893
Harsh,0.15905053592177187
Rude,0.2459519726954642
Unsympathetic,0.16511801051591996
Efficient,0.9581368178570133
Organized,0.8782338326498216
Practical,0.940976688067717
Systematic,0.9558413268319474
Careless,0.09180324238201001
Disorganized,0.4608522824039885
Inefficient,0.5429800099158683
Sloppy,0.48961736537744655
Envious,0.28375229861257084
Fretful,0.6357143202439287
Jealous,0.30401515156900427
Moody,0.954547075794345
Temperamental,0.9485781512892748
Touchy,0.6891624978857656
Relaxed,0.3386565397430765
Unenvious,0.08065132795583879
Complex,0.7256309686884013
Creative,0.894373977560058
Deep,0.7296609460489488
Imaginative,0.9182214453293481
Intellectual,0.8720907803073422
Philosophical,0.8416474009534942
Uncreative,0.24868061155040494
Unintellectual,0.25123945304484224
