Item,Loading
Bold,0.992367095261629
Energetic,0.9844713080893155
Extraverted,0.9963780881591286
Talkative,0.980893005488622
Bashful,0.9796637758710046
Quiet,0.9827057719508405
Shy,0.9801758370371851
Withdrawn,0.9805773862470625
Cooperative,0.9399727864430004
Kind,0.9838941932494291
Sympathetic,0.9738215780554967
Warm,0.9253111211015542
Cold,0.9657483094392569
Harsh,0.934395714690294
Rude,0.8400458727075465
Unsympathetic,0.8754602244808493
Efficient,0.984840166739845
Organized,0.9887351165047085
Practical,0.8440024124245143
Systematic,0.9658739924214184
Careless,0.9929622651211281
Disorganized,0.9923643643108263
Inefficient,0.9853672839617559
Sloppy,0.9669797884661873
Envious,0.6577378501475967
Fretful,0.990458276114992
Jealous,0.6736785339859775
Moody,0.9876160670858334
Temperamental,0.9880641714986755
Touchy,0.9870790250770203
Relaxed,0.9585051150089318
Unenvious,0.540426011671957
Complex,0.8894063828466138
Creative,0.9673029196361708
Deep,0.8960725496116716
Imaginative,0.9661210506066811
Intellectual,0.9343055479775864
Philosophical,0.8873029750376871
Uncreative,0.9177784348080609
Unintellectual,0.7919442894865851
