Item,Loading
Bold,0.9924218969979078
Energetic,0.9815049363918809
Extraverted,0.9962379666012773
Talkative,0.9816361012227212
Bashful,0.8824073447647284
Quiet,0.9715012575955835
Shy,0.9542343061401994
Withdrawn,0.9743108377307712
Cooperative,0.8811739212470269
Kind,0.9342872497014003
Sympathetic,0.9216095936511848
Warm,0.9219897050809249
Cold,0.9214072590683171
Harsh,0.8387413949962716
Rude,0.816493695950166
Unsympathetic,0.8459001710443907
Efficient,0.982252305716326
Organized,0.9776603492607291
Practical,0.8870172106417583
Systematic,0.9782737542799147
Careless,0.9743869802758289
Disorganized,0.9843388164651622
Inefficient,0.9724909147086203
Sloppy,0.9752380499628371
Envious,0.9437342337404635
Fretful,0.9882672367124246
Jealous,0.9434216086649857
Moody,0.9862431105549262
Temperamental,0.9855815861500332
Touchy,0.9826091283986537
Relaxed,0.9107606766040242
Unenvious,0.9087214813272593
Complex,0.9291458599637961
Creative,0.9615488646386853
Deep,0.8822169729273541
Imaginative,0.960232121627424
Intellectual,0.8876673861833139
Philosophical,0.8947834771856303
Uncreative,0.8484982613741571
Unintellectual,0.6582954102672965
