Item,Loading
Bold,0.983166820617767
Energetic,0.9884869357656633
Extraverted,0.9991729162025778
Talkative,0.9991788233569504
Bashful,0.9583878163337058
Quiet,0.9829807650577015
Shy,0.9668543182218484
Withdrawn,0.9692745870406866
Cooperative,0.95239117656533
Kind,0.9665287959793412
Sympathetic,0.970379126381579
Warm,0.9050309653938792
Cold,0.877010459108827
Harsh,0.8559529663958995
Rude,0.8919729714472391
Unsympathetic,0.8806100019733982
Efficient,0.9694600617540439
Organized,0.966690168416905
Practical,0.768015117702193
Systematic,0.9613937656616488
Careless,0.9863230957522595
Disorganized,0.9934815055609055
Inefficient,0.9898256723494986
Sloppy,0.9918083353948726
Envious,0.9832037454412448
Fretful,0.9958517858916147
Jealous,0.9827181415464977
Moody,0.992236729981852
Temperamental,0.9950475291313723
Touchy,0.9954633965661339
Relaxed,0.9825310967427635
Unenvious,0.9812099877759087
Complex,0.9444065122713782
Creative,0.9723432050541994
Deep,0.9173767399689231
Imaginative,0.9836606143437789
Intellectual,0.9479278126193528
Philosophical,0.9469309509674123
Uncreative,0.9257992484609417
Unintellectual,0.9101232066328205
