Item,Loading
Bold,0.9848633418679874
Energetic,0.9794523264055703
Extraverted,0.9952941880455842
Talkative,0.9928058591215544
Bashful,0.8210825946712494
Quiet,0.989062719024813
Shy,0.9599339157166075
Withdrawn,0.9626804892223634
Cooperative,0.9430068747446544
Kind,0.9410992773057351
Sympathetic,0.9534024181616744
Warm,0.9208448297678884
Cold,0.8286706045967885
Harsh,0.7510648975916784
Rude,0.8676526676864118
Unsympathetic,0.8758337965807819
Efficient,0.9807863760323972
Organized,0.9808379251433654
Practical,0.791869818404757
Systematic,0.9799884604429555
Careless,0.9815838081674343
Disorganized,0.9785607504588131
Inefficient,0.9841843993001264
Sloppy,0.9835120436503696
Envious,0.9888750466908323
Fretful,0.9940298660256852
Jealous,0.9906714674961188
Moody,0.9963964919122492
Temperamental,0.9969779575496459
Touchy,0.9948575862414372
Relaxed,0.9782409816876098
Unenvious,0.9826274158386389
Complex,0.9706529131254866
Creative,0.9326398062570264
Deep,0.9320031400629455
Imaginative,0.9519298029312223
Intellectual,0.9440468905588149
Philosophical,0.9528674146813954
Uncreative,0.955283708830876
Unintellectual,0.945755642344852
