Item,Loading
Bold,0.9962968940756628
Energetic,0.9953474842749175
Extraverted,0.9988051117801441
Talkative,0.9967627052976524
Bashful,0.9897333604335232
Quiet,0.9955673262400481
Shy,0.9933021440875353
Withdrawn,0.9901727441268844
Cooperative,0.9258055410058721
Kind,0.9972884708087251
Sympathetic,0.9972286760452757
Warm,0.7992466069772254
Cold,0.7401021920922103
Harsh,0.8315492122951756
Rude,0.7493098109862301
Unsympathetic,0.7561656533180937
Efficient,0.9650810562925496
Organized,0.9540421871362249
Practical,0.6738296908706024
Systematic,0.9455905767488056
Careless,0.9596866828731492
Disorganized,0.9982149870919308
Inefficient,0.993612576964015
Sloppy,0.9927801118799245
Envious,0.7051085973842695
Fretful,0.9846340242987969
Jealous,0.7309863315236276
Moody,0.9877126637368201
Temperamental,0.9895996357803047
Touchy,0.9557562391733198
Relaxed,0.9421411097699384
Unenvious,0.6728210036148088
Complex,0.9083840201169583
Creative,0.9630141175448789
Deep,0.7052882875094807
Imaginative,0.9678804327846704
Intellectual,0.9503741737146273
Philosophical,0.9533324457157571
Uncreative,0.7818091782278911
Unintellectual,0.7982682696144717
