Item,Loading
Bold,0.9972511258362621
Energetic,0.9769546530300521
Extraverted,0.9979380906920403
Talkative,0.9857964294932536
Bashful,0.994411764383354
Quiet,0.9981722186509715
Shy,0.994083481540516
Withdrawn,0.995968687045148
Cooperative,0.7960404806871907
Kind,0.7985159412040751
Sympathetic,0.7184767592947534
Warm,0.7214354294115252
Cold,0.9756122889227149
Harsh,0.9922899311625982
Rude,0.9603980757723761
Unsympathetic,0.9860343712436311
Efficient,0.988623459163305
Organized,0.9888701591456327
Practical,0.8684696173312659
Systematic,0.9464718653823408
Careless,0.9810457616781701
Disorganized,0.998112755305884
Inefficient,0.9987036628384599
Sloppy,0.9989748164750856
Envious,0.8784818173979484
Fretful,0.985714786952719
Jealous,0.8254830093514912
Moody,0.9947699070904115
Temperamental,0.9854084481967106
Touchy,0.9891913206790639
Relaxed,0.9279247120645112
Unenvious,0.8449109529742702
Complex,0.8390748667154764
Creative,0.9782146297395825
Deep,0.9185922370196131
Imaginative,0.983705597942535
Intellectual,0.8894787770040955
Philosophical,0.8822150411534668
Uncreative,0.7728590281359947
Unintellectual,0.7901275051575062
