Study,Format,Model,Factor_Domain,N_Items,N_Participants,Alpha,Omega,CFI,TLI,RMSEA,SRMR,Chi_Square,DF,P_Value
STUDY_3,binary_elaborated,bfi_to_minimarker_binary_deepseek_temp1,Conscientiousness,8,200,0.982,0.988,0.885,0.839,0.338,0.017,477.436,20,0
STUDY_3,binary_elaborated,bfi_to_minimarker_binary_deepseek_temp1,Extraversion,8,200,0.994,0.991,0.871,0.819,0.406,0.017,679.598,20,0
STUDY_3,binary_elaborated,bfi_to_minimarker_binary_deepseek_temp1,Neuroticism,8,200,0.982,0.984,0.887,0.842,0.336,0.039,471.77,20,0
STUDY_3,binary_elaborated,bfi_to_minimarker_binary_deepseek_temp1,Openness,8,200,0.979,0.953,0.794,0.712,0.421,0.065,727.342,20,0
STUDY_3,binary_elaborated,bfi_to_minimarker_binary_gpt_4_temp1,Agreeableness,8,200,0.973,0.964,0.952,0.933,0.171,0.035,136.858,20,0
STUDY_3,binary_elaborated,bfi_to_minimarker_binary_gpt_4_temp1,Conscientiousness,8,200,0.989,0.993,0.988,0.983,0.115,0.004,72.481,20,0
STUDY_3,binary_elaborated,bfi_to_minimarker_binary_gpt_4_temp1,Extraversion,8,200,0.993,0.994,0.978,0.969,0.156,0.006,116.748,20,0
STUDY_3,binary_elaborated,bfi_to_minimarker_binary_gpt_4_temp1,Neuroticism,8,200,0.965,0.949,0.834,0.768,0.379,0.134,595.752,20,0
STUDY_3,binary_elaborated,bfi_to_minimarker_binary_gpt_4_temp1,Openness,8,200,0.973,0.976,0.944,0.921,0.182,0.025,153.175,20,0
STUDY_3,binary_elaborated,bfi_to_minimarker_binary_gpt_4o_temp1,Agreeableness,8,200,0.975,0.955,0.835,0.769,0.331,0.062,459.103,20,0
STUDY_3,binary_elaborated,bfi_to_minimarker_binary_gpt_4o_temp1,Conscientiousness,8,200,0.987,0.988,0.953,0.935,0.222,0.014,217.063,20,0
STUDY_3,binary_elaborated,bfi_to_minimarker_binary_gpt_4o_temp1,Extraversion,8,200,0.994,0.989,0.935,0.909,0.285,0.014,344.445,20,0
STUDY_3,binary_elaborated,bfi_to_minimarker_binary_gpt_4o_temp1,Neuroticism,8,200,0.996,0.996,0.937,0.912,0.289,0.007,354.99,20,0
