Study,Format,Model,Structure_Type,Factor_Domain,Item,Loading,Loading_Abs,Alpha,Omega,Eigenvalue,Variance_Explained,N_Items,N_Participants,RMSEA,CFI,TLI,SRMR,File_Source
Study_2,binary,llama_3.3_70b,Original,Extraversion,Bold,0.9934802658719735,0.9934802658719735,0.99603176064449,0.9882877834062245,7.906302267249793,0.9882877834062249,8,438,0.0,0.9999798995474485,0.9999718593664279,0.0044233869707111795,study_2_elaborated_binary_results_bfi_to_minimarker_binary_llama_temp1_0
Study_2,binary,llama_3.3_70b,Original,Extraversion,Energetic,0.9950651090913296,0.9950651090913296,0.99603176064449,0.9882877834062245,7.906302267249793,0.9882877834062249,8,438,0.0,0.9999798995474485,0.9999718593664279,0.0044233869707111795,study_2_elaborated_binary_results_bfi_to_minimarker_binary_llama_temp1_0
Study_2,binary,llama_3.3_70b,Original,Extraversion,Extraverted,0.9979275632709983,0.9979275632709983,0.99603176064449,0.9882877834062245,7.906302267249793,0.9882877834062249,8,438,0.0,0.9999798995474485,0.9999718593664279,0.0044233869707111795,study_2_elaborated_binary_results_bfi_to_minimarker_binary_llama_temp1_0
Study_2,binary,llama_3.3_70b,Original,Extraversion,Talkative,0.9950550889895113,0.9950550889895113,0.99603176064449,0.9882877834062245,7.906302267249793,0.9882877834062249,8,438,0.0,0.9999798995474485,0.9999718593664279,0.0044233869707111795,study_2_elaborated_binary_results_bfi_to_minimarker_binary_llama_temp1_0
Study_2,binary,llama_3.3_70b,Original,Extraversion,Bashful,0.992526236546527,0.992526236546527,0.99603176064449,0.9882877834062245,7.906302267249793,0.9882877834062249,8,438,0.0,0.9999798995474485,0.9999718593664279,0.0044233869707111795,study_2_elaborated_binary_results_bfi_to_minimarker_binary_llama_temp1_0
Study_2,binary,llama_3.3_70b,Original,Extraversion,Quiet,0.996183176445746,0.996183176445746,0.99603176064449,0.9882877834062245,7.906302267249793,0.9882877834062249,8,438,0.0,0.9999798995474485,0.9999718593664279,0.0044233869707111795,study_2_elaborated_binary_results_bfi_to_minimarker_binary_llama_temp1_0
Study_2,binary,llama_3.3_70b,Original,Extraversion,Shy,0.9933940380545071,0.9933940380545071,0.99603176064449,0.9882877834062245,7.906302267249793,0.9882877834062249,8,438,0.0,0.9999798995474485,0.9999718593664279,0.0044233869707111795,study_2_elaborated_binary_results_bfi_to_minimarker_binary_llama_temp1_0
Study_2,binary,llama_3.3_70b,Original,Extraversion,Withdrawn,0.9893581957374712,0.9893581957374712,0.99603176064449,0.9882877834062245,7.906302267249793,0.9882877834062249,8,438,0.0,0.9999798995474485,0.9999718593664279,0.0044233869707111795,study_2_elaborated_binary_results_bfi_to_minimarker_binary_llama_temp1_0
Study_2,binary,llama_3.3_70b,Original,Agreeableness,Cooperative,-0.8991052454547758,0.8991052454547758,0.96549507748057,0.8141054958002824,6.512843966402259,0.814105495800282,8,438,0.19199196180685255,0.9780045189668546,0.9692063265535964,0.11810990808315068,study_2_elaborated_binary_results_bfi_to_minimarker_binary_llama_temp1_0
Study_2,binary,llama_3.3_70b,Original,Agreeableness,Kind,-0.9233102118993031,0.9233102118993031,0.96549507748057,0.8141054958002824,6.512843966402259,0.814105495800282,8,438,0.19199196180685255,0.9780045189668546,0.9692063265535964,0.11810990808315068,study_2_elaborated_binary_results_bfi_to_minimarker_binary_llama_temp1_0
Study_2,binary,llama_3.3_70b,Original,Agreeableness,Sympathetic,-0.9205486469204701,0.9205486469204701,0.96549507748057,0.8141054958002824,6.512843966402259,0.814105495800282,8,438,0.19199196180685255,0.9780045189668546,0.9692063265535964,0.11810990808315068,study_2_elaborated_binary_results_bfi_to_minimarker_binary_llama_temp1_0
Study_2,binary,llama_3.3_70b,Original,Agreeableness,Warm,-0.8020472219884545,0.8020472219884545,0.96549507748057,0.8141054958002824,6.512843966402259,0.814105495800282,8,438,0.19199196180685255,0.9780045189668546,0.9692063265535964,0.11810990808315068,study_2_elaborated_binary_results_bfi_to_minimarker_binary_llama_temp1_0
Study_2,binary,llama_3.3_70b,Original,Agreeableness,Cold,-0.9078376278471452,0.9078376278471452,0.96549507748057,0.8141054958002824,6.512843966402259,0.814105495800282,8,438,0.19199196180685255,0.9780045189668546,0.9692063265535964,0.11810990808315068,study_2_elaborated_binary_results_bfi_to_minimarker_binary_llama_temp1_0
Study_2,binary,llama_3.3_70b,Original,Agreeableness,Harsh,-0.9521016618216921,0.9521016618216921,0.96549507748057,0.8141054958002824,6.512843966402259,0.814105495800282,8,438,0.19199196180685255,0.9780045189668546,0.9692063265535964,0.11810990808315068,study_2_elaborated_binary_results_bfi_to_minimarker_binary_llama_temp1_0
Study_2,binary,llama_3.3_70b,Original,Agreeableness,Rude,-0.8902580223848084,0.8902580223848084,0.96549507748057,0.8141054958002824,6.512843966402259,0.814105495800282,8,438,0.19199196180685255,0.9780045189668546,0.9692063265535964,0.11810990808315068,study_2_elaborated_binary_results_bfi_to_minimarker_binary_llama_temp1_0
Study_2,binary,llama_3.3_70b,Original,Agreeableness,Unsympathetic,-0.9154432475881045,0.9154432475881045,0.96549507748057,0.8141054958002824,6.512843966402259,0.814105495800282,8,438,0.19199196180685255,0.9780045189668546,0.9692063265535964,0.11810990808315068,study_2_elaborated_binary_results_bfi_to_minimarker_binary_llama_temp1_0
Study_2,binary,llama_3.3_70b,Original,Conscientiousness,Efficient,-0.981498586275123,0.981498586275123,0.980324701379213,0.9071251343825062,7.2570010750600495,0.907125134382505,8,438,0.025227052144512287,0.9987006671402011,0.9981809339962815,0.032282548388071895,study_2_elaborated_binary_results_bfi_to_minimarker_binary_llama_temp1_0
Study_2,binary,llama_3.3_70b,Original,Conscientiousness,Organized,-0.9808481863586415,0.9808481863586415,0.980324701379213,0.9071251343825062,7.2570010750600495,0.907125134382505,8,438,0.025227052144512287,0.9987006671402011,0.9981809339962815,0.032282548388071895,study_2_elaborated_binary_results_bfi_to_minimarker_binary_llama_temp1_0
Study_2,binary,llama_3.3_70b,Original,Conscientiousness,Practical,-0.7600801884732229,0.7600801884732229,0.980324701379213,0.9071251343825062,7.2570010750600495,0.907125134382505,8,438,0.025227052144512287,0.9987006671402011,0.9981809339962815,0.032282548388071895,study_2_elaborated_binary_results_bfi_to_minimarker_binary_llama_temp1_0
Study_2,binary,llama_3.3_70b,Original,Conscientiousness,Systematic,-0.9687728837981013,0.9687728837981013,0.980324701379213,0.9071251343825062,7.2570010750600495,0.907125134382505,8,438,0.025227052144512287,0.9987006671402011,0.9981809339962815,0.032282548388071895,study_2_elaborated_binary_results_bfi_to_minimarker_binary_llama_temp1_0
