Study,Format,Model,Structure_Type,Alpha,Omega,Eigenvalue,Variance_Explained,RMSEA,CFI,N_Items,N_Factors_Total
STUDY_2,binary_simple,deepseek_v3,Original,0.9822760666516139,0.0,6.891055720101699,0.8846152837576355,0.0,0.0,39,5
STUDY_2,binary_simple,gpt_3.5_turbo,Original,0.89659643105213,0.0,4.6738307445958425,0.5952195897389112,0.0,0.0,39,5
STUDY_2,binary_simple,gpt_4,Original,0.9795137038424094,0.0,6.863336549660796,0.877784183554396,0.0,0.0,39,5
STUDY_2,binary_simple,gpt_4o,Original,0.9880119269077918,0.0,7.13086329832772,0.9158125901579446,0.0,0.0,39,5
STUDY_2,binary_simple,llama_3.3_70b,Original,0.9716375165608252,0.0,6.618172031063457,0.84760757895314,0.0,0.0,39,5
STUDY_2,likert,deepseek_v3,Original,0.9099437186649395,0.0,4.556290675239857,0.5834406570621481,0.0,0.0,39,5
STUDY_2,likert,gpt_3.5_turbo,Original,0.8042434805502013,0.0,3.1569238841109923,0.40387563838757884,0.0,0.0,39,5
STUDY_2,likert,gpt_4,Original,0.8722719029970152,0.0,3.6940294935410423,0.47288969671338704,0.0,0.0,39,5
STUDY_2,likert,gpt_4o,Original,0.9284690744189341,0.0,4.96888466813732,0.6359279174839635,0.0,0.0,39,5
STUDY_2,likert,llama_3.3_70b,Original,0.9365811883514935,0.0,5.269825720452305,0.6746377815757347,0.0,0.0,39,5
STUDY_3,binary_simple,deepseek_v3,Original,0.9816276470998752,0.0,6.725827241907017,0.8637330014358946,0.0,0.0,39,5
STUDY_3,binary_simple,gpt_3.5_turbo,Original,0.8660033687997437,0.0,3.8160652241393604,0.4872713096149906,0.0,0.0,39,5
STUDY_3,binary_simple,gpt_4,Original,0.979240498359014,0.0,6.779381624337209,0.8703414718332292,0.0,0.0,39,5
STUDY_3,binary_simple,gpt_4o,Original,0.9855834814331912,0.0,7.027435235430447,0.9029483405851984,0.0,0.0,39,5
STUDY_3,binary_simple,llama_3.3_70b,Original,0.9752661333377022,0.0,6.8012103216630875,0.8721238522688924,0.0,0.0,39,5
