Study,Format,Model,Structure_Type,Factor_Domain,Item,Loading,Loading_Abs,Alpha,Omega,Eigenvalue,Variance_Explained,N_Items,N_Participants,RMSEA,CFI,TLI,SRMR,File_Source
Study_2,binary,deepseek_v3,Original,Extraversion,Bold,0.9946373539195237,0.9946373539195237,0.994541788670656,0.9781271306395833,6.846889914477082,0.978127130639581,7,438,0.0,0.9998687998707865,0.9998031998061798,0.011162751539614138,study_2_elaborated_binary_results_bfi_to_minimarker_binary_deepseek_temp1_0
Study_2,binary,deepseek_v3,Original,Extraversion,Energetic,0.987035168256686,0.987035168256686,0.994541788670656,0.9781271306395833,6.846889914477082,0.978127130639581,7,438,0.0,0.9998687998707865,0.9998031998061798,0.011162751539614138,study_2_elaborated_binary_results_bfi_to_minimarker_binary_deepseek_temp1_0
Study_2,binary,deepseek_v3,Original,Extraversion,Extraverted,0.9946157822605283,0.9946157822605283,0.994541788670656,0.9781271306395833,6.846889914477082,0.978127130639581,7,438,0.0,0.9998687998707865,0.9998031998061798,0.011162751539614138,study_2_elaborated_binary_results_bfi_to_minimarker_binary_deepseek_temp1_0
Study_2,binary,deepseek_v3,Original,Extraversion,Talkative,0.989996723689135,0.989996723689135,0.994541788670656,0.9781271306395833,6.846889914477082,0.978127130639581,7,438,0.0,0.9998687998707865,0.9998031998061798,0.011162751539614138,study_2_elaborated_binary_results_bfi_to_minimarker_binary_deepseek_temp1_0
Study_2,binary,deepseek_v3,Original,Extraversion,Bashful,0.9892657131411158,0.9892657131411158,0.994541788670656,0.9781271306395833,6.846889914477082,0.978127130639581,7,438,0.0,0.9998687998707865,0.9998031998061798,0.011162751539614138,study_2_elaborated_binary_results_bfi_to_minimarker_binary_deepseek_temp1_0
Study_2,binary,deepseek_v3,Original,Extraversion,Shy,0.9911554198345522,0.9911554198345522,0.994541788670656,0.9781271306395833,6.846889914477082,0.978127130639581,7,438,0.0,0.9998687998707865,0.9998031998061798,0.011162751539614138,study_2_elaborated_binary_results_bfi_to_minimarker_binary_deepseek_temp1_0
Study_2,binary,deepseek_v3,Original,Extraversion,Withdrawn,0.9761958003334141,0.9761958003334141,0.994541788670656,0.9781271306395833,6.846889914477082,0.978127130639581,7,438,0.0,0.9998687998707865,0.9998031998061798,0.011162751539614138,study_2_elaborated_binary_results_bfi_to_minimarker_binary_deepseek_temp1_0
Study_2,binary,deepseek_v3,Original,Agreeableness,Cooperative,-0.9372543716810512,0.9372543716810512,0.9725267634883901,0.8472140824646064,6.777712659716846,0.8472140824646066,8,438,0.14335483008609853,0.988206143671299,0.9834886011398186,0.09021164229797891,study_2_elaborated_binary_results_bfi_to_minimarker_binary_deepseek_temp1_0
Study_2,binary,deepseek_v3,Original,Agreeableness,Kind,-0.939237693958407,0.939237693958407,0.9725267634883901,0.8472140824646064,6.777712659716846,0.8472140824646066,8,438,0.14335483008609853,0.988206143671299,0.9834886011398186,0.09021164229797891,study_2_elaborated_binary_results_bfi_to_minimarker_binary_deepseek_temp1_0
Study_2,binary,deepseek_v3,Original,Agreeableness,Sympathetic,-0.9388178055371533,0.9388178055371533,0.9725267634883901,0.8472140824646064,6.777712659716846,0.8472140824646066,8,438,0.14335483008609853,0.988206143671299,0.9834886011398186,0.09021164229797891,study_2_elaborated_binary_results_bfi_to_minimarker_binary_deepseek_temp1_0
