Study,Format,Model,Structure_Type,Factor_Domain,Item,Loading,Loading_Abs,Alpha,Omega,Eigenvalue,Variance_Explained,N_Items,N_Participants,RMSEA,CFI,TLI,SRMR,File_Source
STUDY_2,binary_simple,gpt_4o,Original,Extraversion,Bold,-0.9831626756263241,0.9831626756263241,0.9949534932195745,0,7.699419895700655,0.9624274869625818,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1_0
STUDY_2,binary_simple,gpt_4o,Original,Extraversion,Energetic,-0.9884803978317255,0.9884803978317255,0.9949534932195745,0,7.699419895700655,0.9624274869625818,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1_0
STUDY_2,binary_simple,gpt_4o,Original,Extraversion,Extraverted,-0.9991737652945127,0.9991737652945127,0.9949534932195745,0,7.699419895700655,0.9624274869625818,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1_0
STUDY_2,binary_simple,gpt_4o,Original,Extraversion,Talkative,-0.999176895244579,0.999176895244579,0.9949534932195745,0,7.699419895700655,0.9624274869625818,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1_0
STUDY_2,binary_simple,gpt_4o,Original,Extraversion,Bashful,-0.9583819688545985,0.9583819688545985,0.9949534932195745,0,7.699419895700655,0.9624274869625818,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1_0
STUDY_2,binary_simple,gpt_4o,Original,Extraversion,Quiet,-0.9829786899564845,0.9829786899564845,0.9949534932195745,0,7.699419895700655,0.9624274869625818,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1_0
STUDY_2,binary_simple,gpt_4o,Original,Extraversion,Shy,-0.9668522574203303,0.9668522574203303,0.9949534932195745,0,7.699419895700655,0.9624274869625818,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1_0
STUDY_2,binary_simple,gpt_4o,Original,Extraversion,Withdrawn,-0.9692618222142012,0.9692618222142012,0.9949534932195745,0,7.699419895700655,0.9624274869625818,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1_0
STUDY_2,binary_simple,gpt_4o,Original,Agreeableness,Cooperative,-0.9521610451204919,0.9521610451204919,0.976912952956416,0,6.666719436158737,0.8333399295198421,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1_0
STUDY_2,binary_simple,gpt_4o,Original,Agreeableness,Kind,-0.9677890856092825,0.9677890856092825,0.976912952956416,0,6.666719436158737,0.8333399295198421,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1_0
STUDY_2,binary_simple,gpt_4o,Original,Agreeableness,Sympathetic,-0.9713866616865183,0.9713866616865183,0.976912952956416,0,6.666719436158737,0.8333399295198421,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1_0
STUDY_2,binary_simple,gpt_4o,Original,Agreeableness,Warm,-0.9046962283505333,0.9046962283505333,0.976912952956416,0,6.666719436158737,0.8333399295198421,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1_0
STUDY_2,binary_simple,gpt_4o,Original,Agreeableness,Cold,-0.8751017709489599,0.8751017709489599,0.976912952956416,0,6.666719436158737,0.8333399295198421,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1_0
STUDY_2,binary_simple,gpt_4o,Original,Agreeableness,Harsh,-0.8542485532347925,0.8542485532347925,0.976912952956416,0,6.666719436158737,0.8333399295198421,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1_0
STUDY_2,binary_simple,gpt_4o,Original,Agreeableness,Rude,-0.8902857932134406,0.8902857932134406,0.976912952956416,0,6.666719436158737,0.8333399295198421,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1_0
STUDY_2,binary_simple,gpt_4o,Original,Agreeableness,Unsympathetic,-0.8793595738807604,0.8793595738807604,0.976912952956416,0,6.666719436158737,0.8333399295198421,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1_0
STUDY_2,binary_simple,gpt_4o,Original,Conscientiousness,Efficient,-0.9694523888060682,0.9694523888060682,0.9875323972733554,0,7.3119400872210205,0.9139925109026276,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1_0
STUDY_2,binary_simple,gpt_4o,Original,Conscientiousness,Organized,-0.9669062443410227,0.9669062443410227,0.9875323972733554,0,7.3119400872210205,0.9139925109026276,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1_0
STUDY_2,binary_simple,gpt_4o,Original,Conscientiousness,Practical,-0.7679207835345233,0.7679207835345233,0.9875323972733554,0,7.3119400872210205,0.9139925109026276,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1_0
STUDY_2,binary_simple,gpt_4o,Original,Conscientiousness,Systematic,-0.9614622067789569,0.9614622067789569,0.9875323972733554,0,7.3119400872210205,0.9139925109026276,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1_0
STUDY_2,binary_simple,gpt_4o,Original,Conscientiousness,Careless,-0.9863020535026381,0.9863020535026381,0.9875323972733554,0,7.3119400872210205,0.9139925109026276,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1_0
STUDY_2,binary_simple,gpt_4o,Original,Conscientiousness,Disorganized,-0.993476825671139,0.993476825671139,0.9875323972733554,0,7.3119400872210205,0.9139925109026276,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1_0
STUDY_2,binary_simple,gpt_4o,Original,Conscientiousness,Inefficient,-0.9897576326668247,0.9897576326668247,0.9875323972733554,0,7.3119400872210205,0.9139925109026276,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1_0
STUDY_2,binary_simple,gpt_4o,Original,Conscientiousness,Sloppy,-0.9918036335654691,0.9918036335654691,0.9875323972733554,0,7.3119400872210205,0.9139925109026276,8,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1_0
STUDY_2,binary_simple,gpt_4o,Original,Neuroticism,Jealous,-0.9809515064902143,0.9809515064902143,0.9959801513230132,0,6.847309802754324,0.9781871146791892,7,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1_0
STUDY_2,binary_simple,gpt_4o,Original,Neuroticism,Fretful,-0.9962296260952831,0.9962296260952831,0.9959801513230132,0,6.847309802754324,0.9781871146791892,7,438,0,0,0,0,study_2_binary_simple_results_bfi_to_minimarker_binary_gpt_4o_temp1_0
