Study,Format,Model,Structure_Type,Factor_Domain,Item,Loading,Loading_Abs,Alpha,Omega,Eigenvalue,Variance_Explained,N_Items,N_Participants,RMSEA,CFI,TLI,SRMR,File_Source
Study_2,expanded,deepseek_v3,Original,Extraversion,Bold,0.7927051747360535,0.7927051747360535,0.9655600074616172,0.8087305403776239,6.4698443230209906,0.8087305403776244,8,438,0.0627136263682142,0.9963914232825627,0.9949479925955877,0.04708322610573296,study_2_expanded_results_i_am_bfi_to_minimarker_deepseek_temp1_0
Study_2,expanded,deepseek_v3,Original,Extraversion,Energetic,0.7600582407477555,0.7600582407477555,0.9655600074616172,0.8087305403776239,6.4698443230209906,0.8087305403776244,8,438,0.0627136263682142,0.9963914232825627,0.9949479925955877,0.04708322610573296,study_2_expanded_results_i_am_bfi_to_minimarker_deepseek_temp1_0
Study_2,expanded,deepseek_v3,Original,Extraversion,Extraverted,0.8969003475668476,0.8969003475668476,0.9655600074616172,0.8087305403776239,6.4698443230209906,0.8087305403776244,8,438,0.0627136263682142,0.9963914232825627,0.9949479925955877,0.04708322610573296,study_2_expanded_results_i_am_bfi_to_minimarker_deepseek_temp1_0
Study_2,expanded,deepseek_v3,Original,Extraversion,Talkative,0.9379175314281947,0.9379175314281947,0.9655600074616172,0.8087305403776239,6.4698443230209906,0.8087305403776244,8,438,0.0627136263682142,0.9963914232825627,0.9949479925955877,0.04708322610573296,study_2_expanded_results_i_am_bfi_to_minimarker_deepseek_temp1_0
Study_2,expanded,deepseek_v3,Original,Extraversion,Bashful,0.9170833634055544,0.9170833634055544,0.9655600074616172,0.8087305403776239,6.4698443230209906,0.8087305403776244,8,438,0.0627136263682142,0.9963914232825627,0.9949479925955877,0.04708322610573296,study_2_expanded_results_i_am_bfi_to_minimarker_deepseek_temp1_0
Study_2,expanded,deepseek_v3,Original,Extraversion,Quiet,0.9374187024085012,0.9374187024085012,0.9655600074616172,0.8087305403776239,6.4698443230209906,0.8087305403776244,8,438,0.0627136263682142,0.9963914232825627,0.9949479925955877,0.04708322610573296,study_2_expanded_results_i_am_bfi_to_minimarker_deepseek_temp1_0
Study_2,expanded,deepseek_v3,Original,Extraversion,Shy,0.9610600053216868,0.9610600053216868,0.9655600074616172,0.8087305403776239,6.4698443230209906,0.8087305403776244,8,438,0.0627136263682142,0.9963914232825627,0.9949479925955877,0.04708322610573296,study_2_expanded_results_i_am_bfi_to_minimarker_deepseek_temp1_0
Study_2,expanded,deepseek_v3,Original,Extraversion,Withdrawn,0.9675860259035408,0.9675860259035408,0.9655600074616172,0.8087305403776239,6.4698443230209906,0.8087305403776244,8,438,0.0627136263682142,0.9963914232825627,0.9949479925955877,0.04708322610573296,study_2_expanded_results_i_am_bfi_to_minimarker_deepseek_temp1_0
Study_2,expanded,deepseek_v3,Original,Agreeableness,Cooperative,-0.869671075848263,0.869671075848263,0.9341609116123424,0.7248009772480517,5.798407817984419,0.724800977248053,8,438,0.17024290312312756,0.9768253126989025,0.9675554377784634,0.10555902320133927,study_2_expanded_results_i_am_bfi_to_minimarker_deepseek_temp1_0
Study_2,expanded,deepseek_v3,Original,Agreeableness,Kind,-0.9311665326553181,0.9311665326553181,0.9341609116123424,0.7248009772480517,5.798407817984419,0.724800977248053,8,438,0.17024290312312756,0.9768253126989025,0.9675554377784634,0.10555902320133927,study_2_expanded_results_i_am_bfi_to_minimarker_deepseek_temp1_0
