Study,Format,Model,Structure_Type,Factor_Domain,N_Items,N_Participants,Alpha,Omega,Eigenvalue,Variance_Explained,Mean_Loading_Abs,Max_Loading_Abs,Min_Loading_Abs,RMSEA,CFI,TLI,SRMR,Total_Variance_Explained,N_Factors_Total,File_Source
Study_2,expanded,gpt_4,Original,Extraversion,8,438,0.9351172630308822,0.6902867302493829,5.522293841995055,0.6902867302493823,0.8265864055100763,0.9287771309799636,0.68934415924798,0.12989284025828834,0.9839313725162229,0.9775039215227119,0.08262811282854432,0.0,5,study_2_expanded_results_i_am_bfi_to_minimarker_gpt_4_temp1_0
Study_2,expanded,gpt_4,Original,Agreeableness,8,438,0.9070647151750962,0.6299899174009298,5.03991933920744,0.6299899174009304,0.7911004542450056,0.8706630511749317,0.6610811914947443,0.19000369129833874,0.9603918643361249,0.9445486100705749,0.11695860750706066,0.0,5,study_2_expanded_results_i_am_bfi_to_minimarker_gpt_4_temp1_0
Study_2,expanded,gpt_4,Original,Conscientiousness,8,438,0.8682435132596744,0.5479786080589895,4.383828864471915,0.5479786080589896,0.7258700105214738,0.8588688667176358,0.3641465132093807,0.21235381015642446,0.9326676315333335,0.9057346841466669,0.12993719781340096,0.0,5,study_2_expanded_results_i_am_bfi_to_minimarker_gpt_4_temp1_0
Study_2,expanded,gpt_4,Original,Neuroticism,7,438,0.8267756417346181,0.5116531359213347,3.581571951449345,0.5116531359213354,0.7095934592625792,0.8630690817241569,0.5624458165233686,0.28534184906751936,0.8668373989765099,0.8002560984647649,0.16685041754791724,0.0,5,study_2_expanded_results_i_am_bfi_to_minimarker_gpt_4_temp1_0
Study_2,expanded,gpt_4,Original,Openness,8,438,0.8704664694660824,0.5308761944766309,4.247009555813051,0.5308761944766318,0.7241921412653557,0.8299994090119555,0.6071865756712033,0.39386719840457707,0.7912395162875976,0.7077353228026366,0.23683952809557995,0.0,5,study_2_expanded_results_i_am_bfi_to_minimarker_gpt_4_temp1_0
Study_2,expanded,gpt_4,Modified,Factor_2,12,438,0.8315952215549312,0.33600861988167335,5.197268063977476,0.21806120968411555,0.5784376052321359,0.6406979267299815,0.5071911230362668,0.518825857617542,0.4382195883655683,0.3133794968912502,0.33286902137118174,0.6111278749887521,5,study_2_expanded_results_i_am_bfi_to_minimarker_gpt_4_temp1_0
Study_2,expanded,gpt_4,Modified,Factor_1,11,438,0.3440355164492186,0.26788670962331174,8.647073497410139,0.3628043202431366,0.5119390157347024,0.5757646933139512,0.3099982831561694,0.21565357339894792,0.7632664715940454,0.7040830894925567,0.1395469664330312,0.6111278749887521,5,study_2_expanded_results_i_am_bfi_to_minimarker_gpt_4_temp1_0
Study_2,expanded,gpt_4,Modified,Factor_3,7,438,0.7701574286429006,0.29236892512320023,4.013772551598804,0.1684054174663267,0.5328233537722004,0.6707155366666052,0.4002366551535156,0.5052820775629762,0.5856544757220401,0.37848171358306004,0.29269448430986394,0.6111278749887521,5,study_2_expanded_results_i_am_bfi_to_minimarker_gpt_4_temp1_0
Study_2,expanded,gpt_4,Modified,Factor_4,5,438,0.8978197737542037,0.41592318325546457,3.508811008840031,0.14721880105507582,0.6445910515577593,0.6694787451657873,0.6067411066214,0.6457470367345642,0.7727350212107675,0.5454700424215351,0.3233884314011464,0.6111278749887521,5,study_2_expanded_results_i_am_bfi_to_minimarker_gpt_4_temp1_0
Study_2,expanded,gpt_4,Modified,Factor_5,4,438,0.8146572768728939,0.3343384683550513,2.4670620027348678,0.10351025155134533,0.5774843250514274,0.6214244419088963,0.5485844169216236,0.5898707110076276,0.8147646090997926,0.44429382729937805,0.241328324122855,0.6111278749887521,5,study_2_expanded_results_i_am_bfi_to_minimarker_gpt_4_temp1_0
