Study,Format,Model,Structure_Type,Factor_Domain,Item,Loading,Loading_Abs,Alpha,Omega,Eigenvalue,Variance_Explained,N_Items,N_Participants,RMSEA,CFI,TLI,SRMR,File_Source
Study_2,expanded,gpt_4o,Original,Extraversion,Bold,-0.7845000585769286,0.7845000585769286,0.9662672649454012,0.8138900664935141,6.51112053194812,0.8138900664935147,8,438,0.07525351595615917,0.9954577459101885,0.9936408442742639,0.05322884305917994,study_2_expanded_results_i_am_bfi_to_minimarker_gpt_4o_temp1_0
Study_2,expanded,gpt_4o,Original,Extraversion,Energetic,-0.7944263057998594,0.7944263057998594,0.9662672649454012,0.8138900664935141,6.51112053194812,0.8138900664935147,8,438,0.07525351595615917,0.9954577459101885,0.9936408442742639,0.05322884305917994,study_2_expanded_results_i_am_bfi_to_minimarker_gpt_4o_temp1_0
Study_2,expanded,gpt_4o,Original,Extraversion,Extraverted,-0.9318684324551628,0.9318684324551628,0.9662672649454012,0.8138900664935141,6.51112053194812,0.8138900664935147,8,438,0.07525351595615917,0.9954577459101885,0.9936408442742639,0.05322884305917994,study_2_expanded_results_i_am_bfi_to_minimarker_gpt_4o_temp1_0
Study_2,expanded,gpt_4o,Original,Extraversion,Talkative,-0.9143903210059665,0.9143903210059665,0.9662672649454012,0.8138900664935141,6.51112053194812,0.8138900664935147,8,438,0.07525351595615917,0.9954577459101885,0.9936408442742639,0.05322884305917994,study_2_expanded_results_i_am_bfi_to_minimarker_gpt_4o_temp1_0
Study_2,expanded,gpt_4o,Original,Extraversion,Bashful,-0.9377590121037335,0.9377590121037335,0.9662672649454012,0.8138900664935141,6.51112053194812,0.8138900664935147,8,438,0.07525351595615917,0.9954577459101885,0.9936408442742639,0.05322884305917994,study_2_expanded_results_i_am_bfi_to_minimarker_gpt_4o_temp1_0
Study_2,expanded,gpt_4o,Original,Extraversion,Quiet,-0.9416566874570533,0.9416566874570533,0.9662672649454012,0.8138900664935141,6.51112053194812,0.8138900664935147,8,438,0.07525351595615917,0.9954577459101885,0.9936408442742639,0.05322884305917994,study_2_expanded_results_i_am_bfi_to_minimarker_gpt_4o_temp1_0
Study_2,expanded,gpt_4o,Original,Extraversion,Shy,-0.9360589000038948,0.9360589000038948,0.9662672649454012,0.8138900664935141,6.51112053194812,0.8138900664935147,8,438,0.07525351595615917,0.9954577459101885,0.9936408442742639,0.05322884305917994,study_2_expanded_results_i_am_bfi_to_minimarker_gpt_4o_temp1_0
Study_2,expanded,gpt_4o,Original,Extraversion,Withdrawn,-0.9579995062876585,0.9579995062876585,0.9662672649454012,0.8138900664935141,6.51112053194812,0.8138900664935147,8,438,0.07525351595615917,0.9954577459101885,0.9936408442742639,0.05322884305917994,study_2_expanded_results_i_am_bfi_to_minimarker_gpt_4o_temp1_0
Study_2,expanded,gpt_4o,Original,Agreeableness,Cooperative,-0.8051245361151151,0.8051245361151151,0.945412487469372,0.7432178509102153,5.945742807281723,0.7432178509102151,8,438,0.12876420585831375,0.9867115310899822,0.9813961435259752,0.08199623542745697,study_2_expanded_results_i_am_bfi_to_minimarker_gpt_4o_temp1_0
Study_2,expanded,gpt_4o,Original,Agreeableness,Kind,-0.9126102937300551,0.9126102937300551,0.945412487469372,0.7432178509102153,5.945742807281723,0.7432178509102151,8,438,0.12876420585831375,0.9867115310899822,0.9813961435259752,0.08199623542745697,study_2_expanded_results_i_am_bfi_to_minimarker_gpt_4o_temp1_0
Study_2,expanded,gpt_4o,Original,Agreeableness,Sympathetic,-0.8388603002483911,0.8388603002483911,0.945412487469372,0.7432178509102153,5.945742807281723,0.7432178509102151,8,438,0.12876420585831375,0.9867115310899822,0.9813961435259752,0.08199623542745697,study_2_expanded_results_i_am_bfi_to_minimarker_gpt_4o_temp1_0
Study_2,expanded,gpt_4o,Original,Agreeableness,Warm,-0.9086354758672834,0.9086354758672834,0.945412487469372,0.7432178509102153,5.945742807281723,0.7432178509102151,8,438,0.12876420585831375,0.9867115310899822,0.9813961435259752,0.08199623542745697,study_2_expanded_results_i_am_bfi_to_minimarker_gpt_4o_temp1_0
Study_2,expanded,gpt_4o,Original,Agreeableness,Cold,-0.9187063406556842,0.9187063406556842,0.945412487469372,0.7432178509102153,5.945742807281723,0.7432178509102151,8,438,0.12876420585831375,0.9867115310899822,0.9813961435259752,0.08199623542745697,study_2_expanded_results_i_am_bfi_to_minimarker_gpt_4o_temp1_0
Study_2,expanded,gpt_4o,Original,Agreeableness,Harsh,-0.8380673097483714,0.8380673097483714,0.945412487469372,0.7432178509102153,5.945742807281723,0.7432178509102151,8,438,0.12876420585831375,0.9867115310899822,0.9813961435259752,0.08199623542745697,study_2_expanded_results_i_am_bfi_to_minimarker_gpt_4o_temp1_0
Study_2,expanded,gpt_4o,Original,Agreeableness,Rude,-0.7489351481158083,0.7489351481158083,0.945412487469372,0.7432178509102153,5.945742807281723,0.7432178509102151,8,438,0.12876420585831375,0.9867115310899822,0.9813961435259752,0.08199623542745697,study_2_expanded_results_i_am_bfi_to_minimarker_gpt_4o_temp1_0
Study_2,expanded,gpt_4o,Original,Agreeableness,Unsympathetic,-0.9099849982030594,0.9099849982030594,0.945412487469372,0.7432178509102153,5.945742807281723,0.7432178509102151,8,438,0.12876420585831375,0.9867115310899822,0.9813961435259752,0.08199623542745697,study_2_expanded_results_i_am_bfi_to_minimarker_gpt_4o_temp1_0
Study_2,expanded,gpt_4o,Original,Conscientiousness,Efficient,-0.8091142425797324,0.8091142425797324,0.9372895192286728,0.7138918107046002,5.711134485636801,0.7138918107045997,8,438,0.11872110939343065,0.9873054213005706,0.9822275898207989,0.07640499972871881,study_2_expanded_results_i_am_bfi_to_minimarker_gpt_4o_temp1_0
Study_2,expanded,gpt_4o,Original,Conscientiousness,Organized,-0.9200941366308824,0.9200941366308824,0.9372895192286728,0.7138918107046002,5.711134485636801,0.7138918107045997,8,438,0.11872110939343065,0.9873054213005706,0.9822275898207989,0.07640499972871881,study_2_expanded_results_i_am_bfi_to_minimarker_gpt_4o_temp1_0
Study_2,expanded,gpt_4o,Original,Conscientiousness,Practical,-0.6670600060316872,0.6670600060316872,0.9372895192286728,0.7138918107046002,5.711134485636801,0.7138918107045997,8,438,0.11872110939343065,0.9873054213005706,0.9822275898207989,0.07640499972871881,study_2_expanded_results_i_am_bfi_to_minimarker_gpt_4o_temp1_0
Study_2,expanded,gpt_4o,Original,Conscientiousness,Systematic,-0.8462699565713729,0.8462699565713729,0.9372895192286728,0.7138918107046002,5.711134485636801,0.7138918107045997,8,438,0.11872110939343065,0.9873054213005706,0.9822275898207989,0.07640499972871881,study_2_expanded_results_i_am_bfi_to_minimarker_gpt_4o_temp1_0
Study_2,expanded,gpt_4o,Original,Conscientiousness,Careless,-0.7591991456541813,0.7591991456541813,0.9372895192286728,0.7138918107046002,5.711134485636801,0.7138918107045997,8,438,0.11872110939343065,0.9873054213005706,0.9822275898207989,0.07640499972871881,study_2_expanded_results_i_am_bfi_to_minimarker_gpt_4o_temp1_0
Study_2,expanded,gpt_4o,Original,Conscientiousness,Disorganized,-0.9333300748222327,0.9333300748222327,0.9372895192286728,0.7138918107046002,5.711134485636801,0.7138918107045997,8,438,0.11872110939343065,0.9873054213005706,0.9822275898207989,0.07640499972871881,study_2_expanded_results_i_am_bfi_to_minimarker_gpt_4o_temp1_0
Study_2,expanded,gpt_4o,Original,Conscientiousness,Inefficient,-0.8810099370438634,0.8810099370438634,0.9372895192286728,0.7138918107046002,5.711134485636801,0.7138918107045997,8,438,0.11872110939343065,0.9873054213005706,0.9822275898207989,0.07640499972871881,study_2_expanded_results_i_am_bfi_to_minimarker_gpt_4o_temp1_0
Study_2,expanded,gpt_4o,Original,Conscientiousness,Sloppy,-0.9083427966835235,0.9083427966835235,0.9372895192286728,0.7138918107046002,5.711134485636801,0.7138918107045997,8,438,0.11872110939343065,0.9873054213005706,0.9822275898207989,0.07640499972871881,study_2_expanded_results_i_am_bfi_to_minimarker_gpt_4o_temp1_0
