Study,Format,Model,Structure_Type,Factor_Domain,Item,Loading,Loading_Abs,Alpha,Omega,Eigenvalue,Variance_Explained,N_Items,N_Participants,RMSEA,CFI,TLI,SRMR,File_Source
STUDY_2,likert,deepseek_v3,Original,Extraversion,Bold,0.5686880180366896,0.5686880180366896,0.937795337246107,0,5.092111767594934,0.6365139709493668,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Extraversion,Energetic,0.572401615143529,0.572401615143529,0.937795337246107,0,5.092111767594934,0.6365139709493668,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Extraversion,Extraverted,0.708107534372417,0.708107534372417,0.937795337246107,0,5.092111767594934,0.6365139709493668,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Extraversion,Talkative,0.6668460296436518,0.6668460296436518,0.937795337246107,0,5.092111767594934,0.6365139709493668,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Extraversion,Bashful,0.9680696674543354,0.9680696674543354,0.937795337246107,0,5.092111767594934,0.6365139709493668,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Extraversion,Quiet,0.8438635804648461,0.8438635804648461,0.937795337246107,0,5.092111767594934,0.6365139709493668,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Extraversion,Shy,0.9813159202975839,0.9813159202975839,0.937795337246107,0,5.092111767594934,0.6365139709493668,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Extraversion,Withdrawn,0.9395300050139104,0.9395300050139104,0.937795337246107,0,5.092111767594934,0.6365139709493668,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Agreeableness,Cooperative,-0.8569555696791467,0.8569555696791467,0.9259699335249726,0,5.133814367154551,0.6417267958943189,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Agreeableness,Kind,-0.8924078399933796,0.8924078399933796,0.9259699335249726,0,5.133814367154551,0.6417267958943189,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Agreeableness,Sympathetic,-0.901046382652254,0.901046382652254,0.9259699335249726,0,5.133814367154551,0.6417267958943189,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Agreeableness,Warm,-0.9539870871825705,0.9539870871825705,0.9259699335249726,0,5.133814367154551,0.6417267958943189,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Agreeableness,Cold,-0.7216919717861247,0.7216919717861247,0.9259699335249726,0,5.133814367154551,0.6417267958943189,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Agreeableness,Harsh,-0.6782983741596794,0.6782983741596794,0.9259699335249726,0,5.133814367154551,0.6417267958943189,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Agreeableness,Rude,-0.5350521576748286,0.5350521576748286,0.9259699335249726,0,5.133814367154551,0.6417267958943189,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Agreeableness,Unsympathetic,-0.7834953871633804,0.7834953871633804,0.9259699335249726,0,5.133814367154551,0.6417267958943189,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Conscientiousness,Efficient,-0.5920424032263554,0.5920424032263554,0.8933684870153288,0,4.2209874583097236,0.5276234322887154,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Conscientiousness,Organized,-0.9106065741355169,0.9106065741355169,0.8933684870153288,0,4.2209874583097236,0.5276234322887154,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Conscientiousness,Practical,-0.5877504430291762,0.5877504430291762,0.8933684870153288,0,4.2209874583097236,0.5276234322887154,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Conscientiousness,Systematic,-0.8182246907451514,0.8182246907451514,0.8933684870153288,0,4.2209874583097236,0.5276234322887154,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Conscientiousness,Careless,-0.5911638893059853,0.5911638893059853,0.8933684870153288,0,4.2209874583097236,0.5276234322887154,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Conscientiousness,Disorganized,-0.7915359133842976,0.7915359133842976,0.8933684870153288,0,4.2209874583097236,0.5276234322887154,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Conscientiousness,Inefficient,-0.6983364214724275,0.6983364214724275,0.8933684870153288,0,4.2209874583097236,0.5276234322887154,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Conscientiousness,Sloppy,-0.7500993845187863,0.7500993845187863,0.8933684870153288,0,4.2209874583097236,0.5276234322887154,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Neuroticism,Jealous,-0.7293748059193262,0.7293748059193262,0.8798225099827197,0,3.8932103440064743,0.5561729062866392,7,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Neuroticism,Fretful,-0.6822613994812079,0.6822613994812079,0.8798225099827197,0,3.8932103440064743,0.5561729062866392,7,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Neuroticism,Moody,-0.7617944462194921,0.7617944462194921,0.8798225099827197,0,3.8932103440064743,0.5561729062866392,7,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Neuroticism,Temperamental,-0.8335923336682696,0.8335923336682696,0.8798225099827197,0,3.8932103440064743,0.5561729062866392,7,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Neuroticism,Touchy,-0.9836106469014961,0.9836106469014961,0.8798225099827197,0,3.8932103440064743,0.5561729062866392,7,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Neuroticism,Relaxed,-0.4742011190067627,0.4742011190067627,0.8798225099827197,0,3.8932103440064743,0.5561729062866392,7,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Neuroticism,Unenvious,-0.6543535407315707,0.6543535407315707,0.8798225099827197,0,3.8932103440064743,0.5561729062866392,7,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Openness,Complex,-0.6771659841300163,0.6771659841300163,0.912762325555569,0,4.441329439133601,0.5551661798917001,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Openness,Creative,-0.5994988241229626,0.5994988241229626,0.912762325555569,0,4.441329439133601,0.5551661798917001,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Openness,Deep,-0.6814602831320418,0.6814602831320418,0.912762325555569,0,4.441329439133601,0.5551661798917001,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Openness,Imaginative,-0.6271103977662141,0.6271103977662141,0.912762325555569,0,4.441329439133601,0.5551661798917001,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Openness,Intellectual,-0.9951514282784305,0.9951514282784305,0.912762325555569,0,4.441329439133601,0.5551661798917001,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Openness,Philosophical,-0.9574271866228297,0.9574271866228297,0.912762325555569,0,4.441329439133601,0.5551661798917001,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Openness,Uncreative,-0.4646038822637257,0.4646038822637257,0.912762325555569,0,4.441329439133601,0.5551661798917001,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
STUDY_2,likert,deepseek_v3,Original,Openness,Unintellectual,-0.8017925605600732,0.8017925605600732,0.912762325555569,0,4.441329439133601,0.5551661798917001,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_deepseek
