Study,Format,Model,Structure_Type,Factor_Domain,Item,Loading,Loading_Abs,Alpha,Omega,Eigenvalue,Variance_Explained,N_Items,N_Participants,RMSEA,CFI,TLI,SRMR,File_Source
STUDY_2,likert,gpt_4o,Original,Extraversion,Bold,0.6741188905586118,0.6741188905586118,0.9560340340435293,0,5.823667621256375,0.7279584526570468,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_gpt_4o
STUDY_2,likert,gpt_4o,Original,Extraversion,Energetic,0.6470838713241284,0.6470838713241284,0.9560340340435293,0,5.823667621256375,0.7279584526570468,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_gpt_4o
STUDY_2,likert,gpt_4o,Original,Extraversion,Extraverted,0.8403481013853386,0.8403481013853386,0.9560340340435293,0,5.823667621256375,0.7279584526570468,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_gpt_4o
STUDY_2,likert,gpt_4o,Original,Extraversion,Talkative,0.7798270627773947,0.7798270627773947,0.9560340340435293,0,5.823667621256375,0.7279584526570468,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_gpt_4o
STUDY_2,likert,gpt_4o,Original,Extraversion,Bashful,0.9585186085737589,0.9585186085737589,0.9560340340435293,0,5.823667621256375,0.7279584526570468,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_gpt_4o
STUDY_2,likert,gpt_4o,Original,Extraversion,Quiet,0.9357888170578782,0.9357888170578782,0.9560340340435293,0,5.823667621256375,0.7279584526570468,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_gpt_4o
STUDY_2,likert,gpt_4o,Original,Extraversion,Shy,0.9553418478714372,0.9553418478714372,0.9560340340435293,0,5.823667621256375,0.7279584526570468,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_gpt_4o
STUDY_2,likert,gpt_4o,Original,Extraversion,Withdrawn,0.9638785957637239,0.9638785957637239,0.9560340340435293,0,5.823667621256375,0.7279584526570468,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_gpt_4o
STUDY_2,likert,gpt_4o,Original,Agreeableness,Cooperative,-0.7934690567938041,0.7934690567938041,0.93987540252841,0,5.469229886137518,0.6836537357671898,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_gpt_4o
STUDY_2,likert,gpt_4o,Original,Agreeableness,Kind,-0.8688807536385669,0.8688807536385669,0.93987540252841,0,5.469229886137518,0.6836537357671898,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_gpt_4o
STUDY_2,likert,gpt_4o,Original,Agreeableness,Sympathetic,-0.8694395228807826,0.8694395228807826,0.93987540252841,0,5.469229886137518,0.6836537357671898,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_gpt_4o
STUDY_2,likert,gpt_4o,Original,Agreeableness,Warm,-0.9269952612181196,0.9269952612181196,0.93987540252841,0,5.469229886137518,0.6836537357671898,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_gpt_4o
