Study,Format,Model,Structure_Type,Factor_Domain,Item,Loading,Loading_Abs,Alpha,Omega,Eigenvalue,Variance_Explained,N_Items,N_Participants,RMSEA,CFI,TLI,SRMR,File_Source
STUDY_2,likert,llama_3.3_70b,Original,Extraversion,Bold,0.6347202442536628,0.6347202442536628,0.949413417466948,0,5.5411895093730985,0.6926486886716373,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Extraversion,Energetic,0.6510611679716594,0.6510611679716594,0.949413417466948,0,5.5411895093730985,0.6926486886716373,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Extraversion,Extraverted,0.7966496769033736,0.7966496769033736,0.949413417466948,0,5.5411895093730985,0.6926486886716373,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Extraversion,Talkative,0.7509437357364472,0.7509437357364472,0.949413417466948,0,5.5411895093730985,0.6926486886716373,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Extraversion,Bashful,0.9212330729912148,0.9212330729912148,0.949413417466948,0,5.5411895093730985,0.6926486886716373,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Extraversion,Quiet,0.9234158841267065,0.9234158841267065,0.949413417466948,0,5.5411895093730985,0.6926486886716373,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Extraversion,Shy,0.9259664371368654,0.9259664371368654,0.949413417466948,0,5.5411895093730985,0.6926486886716373,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Extraversion,Withdrawn,0.9783101563311619,0.9783101563311619,0.949413417466948,0,5.5411895093730985,0.6926486886716373,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Agreeableness,Cooperative,-0.8208265802849207,0.8208265802849207,0.9530055868322372,0,5.745693501171569,0.7182116876464462,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Agreeableness,Kind,-0.9291069447322815,0.9291069447322815,0.9530055868322372,0,5.745693501171569,0.7182116876464462,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Agreeableness,Sympathetic,-0.9032819369404292,0.9032819369404292,0.9530055868322372,0,5.745693501171569,0.7182116876464462,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Agreeableness,Warm,-0.9569348811294143,0.9569348811294143,0.9530055868322372,0,5.745693501171569,0.7182116876464462,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Agreeableness,Cold,-0.8054534424978246,0.8054534424978246,0.9530055868322372,0,5.745693501171569,0.7182116876464462,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Agreeableness,Harsh,-0.7848840597927477,0.7848840597927477,0.9530055868322372,0,5.745693501171569,0.7182116876464462,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Agreeableness,Rude,-0.681781636591629,0.681781636591629,0.9530055868322372,0,5.745693501171569,0.7182116876464462,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Agreeableness,Unsympathetic,-0.8645406016218405,0.8645406016218405,0.9530055868322372,0,5.745693501171569,0.7182116876464462,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Conscientiousness,Efficient,-0.6160558802480715,0.6160558802480715,0.9289191323830456,0,5.224198301193273,0.6530247876491592,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Conscientiousness,Organized,-0.8946777591510034,0.8946777591510034,0.9289191323830456,0,5.224198301193273,0.6530247876491592,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Conscientiousness,Practical,-0.6929051015372817,0.6929051015372817,0.9289191323830456,0,5.224198301193273,0.6530247876491592,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Conscientiousness,Systematic,-0.8126520699557935,0.8126520699557935,0.9289191323830456,0,5.224198301193273,0.6530247876491592,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Conscientiousness,Careless,-0.7395617569137295,0.7395617569137295,0.9289191323830456,0,5.224198301193273,0.6530247876491592,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Conscientiousness,Disorganized,-0.9023047402253956,0.9023047402253956,0.9289191323830456,0,5.224198301193273,0.6530247876491592,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Conscientiousness,Inefficient,-0.8839303212174953,0.8839303212174953,0.9289191323830456,0,5.224198301193273,0.6530247876491592,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Conscientiousness,Sloppy,-0.8725056131942958,0.8725056131942958,0.9289191323830456,0,5.224198301193273,0.6530247876491592,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Neuroticism,Jealous,-0.7706568710925878,0.7706568710925878,0.910198009466197,0,4.454678625375045,0.6363826607678637,7,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Neuroticism,Fretful,-0.8213091188640249,0.8213091188640249,0.910198009466197,0,4.454678625375045,0.6363826607678637,7,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Neuroticism,Moody,-0.8508009086775085,0.8508009086775085,0.910198009466197,0,4.454678625375045,0.6363826607678637,7,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Neuroticism,Temperamental,-0.8609897996617213,0.8609897996617213,0.910198009466197,0,4.454678625375045,0.6363826607678637,7,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Neuroticism,Touchy,-0.9871391473302499,0.9871391473302499,0.910198009466197,0,4.454678625375045,0.6363826607678637,7,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Neuroticism,Relaxed,-0.535314338091756,0.535314338091756,0.910198009466197,0,4.454678625375045,0.6363826607678637,7,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Neuroticism,Unenvious,-0.6782677831042204,0.6782677831042204,0.910198009466197,0,4.454678625375045,0.6363826607678637,7,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Openness,Complex,-0.7691242094073687,0.7691242094073687,0.9413697956090401,0,5.38336866514854,0.6729210831435675,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Openness,Creative,-0.794111511839363,0.794111511839363,0.9413697956090401,0,5.38336866514854,0.6729210831435675,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Openness,Deep,-0.8159322797071652,0.8159322797071652,0.9413697956090401,0,5.38336866514854,0.6729210831435675,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Openness,Imaginative,-0.7953238617291473,0.7953238617291473,0.9413697956090401,0,5.38336866514854,0.6729210831435675,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Openness,Intellectual,-0.9470188325942374,0.9470188325942374,0.9413697956090401,0,5.38336866514854,0.6729210831435675,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Openness,Philosophical,-0.9081464811677239,0.9081464811677239,0.9413697956090401,0,5.38336866514854,0.6729210831435675,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Openness,Uncreative,-0.7194382998532043,0.7194382998532043,0.9413697956090401,0,5.38336866514854,0.6729210831435675,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
STUDY_2,likert,llama_3.3_70b,Original,Openness,Unintellectual,-0.7897796049982518,0.7897796049982518,0.9413697956090401,0,5.38336866514854,0.6729210831435675,8,438,0,0,0,0,study_2_likert_results_bfi_to_minimarker_llama
